rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
130,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,The Kooks,She Moves In Her Own Way,Virgin Records,100,122,160,440298,2022-09-01
131,spotify:track:2fyIS6GXMgUcSv4oejx63f,Arctic Monkeys,Mardy Bum,Domino Recording Co,131,160,7,438314,2022-09-01
132,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,EMI,30,119,144,437923,2022-09-01
133,spotify:track:6A3SB2C4U6JtCavQOXLYNN,Benzz,Je M'appelle,Universal-Island Records Ltd.,28,116,19,434307,2022-09-01
134,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,23,123,49,433739,2022-09-01
135,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,135,168,3,433364,2022-09-01
136,spotify:track:3Fzlg5r1IjhLk2qRw667od,Toploader,Dancing in the Moonlight,Sony Soho Square,87,120,178,432368,2022-09-01
137,spotify:track:7l9IqDtVWJurTvkQHq1BGh,Tate McRae,she's all i wanna be,RCA Records Label,25,105,30,430692,2022-09-01
138,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,Parlophone UK,17,92,31,423042,2022-09-01
139,spotify:track:5kYSScXYOZYyi0fxramiW6,"DJ Khaled, Future, SZA",BEAUTIFUL (feat. Future & SZA),Epic/We The Best,139,-1,1,421536,2022-09-01
140,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,84,129,109,420568,2022-09-01
141,spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,Not Fit For Society/RCA Records,42,136,32,417989,2022-09-01
142,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - Remastered 2011,EMI,73,140,147,416936,2022-09-01
143,spotify:track:51Zw1cKDgkad0CXv23HCMU,Harry Styles,Daylight,Columbia,7,195,15,416615,2022-09-01
144,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,131,147,163,416389,2022-09-01
145,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,128,86,416194,2022-09-01
146,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,6,135,67,415895,2022-09-01
147,spotify:track:2iHsdUnmKGIuc9oRE3DfgJ,Mimi Webb,House On Fire,Epic,3,125,28,415684,2022-09-01
148,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,22,-1,9,414700,2022-09-01
149,spotify:track:3DKCTIiJ97bS9TGiqcABjo,"Dave, AJ Tracey",Thiago Silva,Tropics Records,10,163,101,412110,2022-09-01
150,spotify:track:7DVNEcKN7bE50N6xQ74mh2,Arctic Monkeys,Snap Out Of It,Domino Recording Co,150,-1,1,410652,2022-09-01
151,spotify:track:4jzK6Ey84SAexMK5C2JWKx,Sam Fender,Getting Started,Polydor Records,116,151,11,408830,2022-09-01
152,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,152,157,6,408289,2022-09-01
