main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
K.Will,192,70,1,12,0,0,0,1394,1317,2021,9,4,2021,11,30,175
KAI,190,28,2,19,0,1,0,1303,722,2021,3,1,2023,12,30,130
KANA-BOON,194,194,1,1,0,0,0,1,1,2025,7,3,2025,7,3,194
KANG MINKYUNG,197,114,1,4,0,0,0,1009,988,2022,9,6,2022,10,29,143
KANGDANIEL,191,27,16,40,0,0,0,1590,1,2021,2,1,2025,12,31,49
KARA,182,29,2,13,0,0,0,946,862,2022,1,1,2023,12,29,145
KARD,167,167,1,1,0,0,1,757,757,2023,6,8,2023,6,8,167
KATSEYE,184,17,5,38,1,0,0,323,1,2024,1,2,2025,12,31,113
KEY,195,63,9,12,0,0,0,1401,267,2021,9,2,2024,10,30,149
KHAN,193,28,2,6,0,0,0,925,890,2022,1,5,2023,12,29,28
KIHYUN,184,184,1,1,0,0,0,981,981,2022,10,27,2022,10,27,184
KISS OF LIFE,200,6,12,94,1,0,0,722,1,2023,1,1,2025,12,31,190
KIXO,162,125,1,3,0,0,0,302,288,2024,9,5,2024,9,19,125
KOONTA,198,11,4,9,0,0,0,1317,1261,2021,1,2,2022,12,30,11
KWON EUNBI,196,131,1,7,0,0,0,904,673,2023,1,2,2023,8,31,195
Kali Uchis,199,16,2,22,0,0,0,1590,736,2021,2,1,2023,6,29,96
Kane Brown,198,172,1,2,0,0,0,1450,1443,2021,7,15,2021,7,22,172
Kanye West,198,9,31,20,0,0,0,1401,274,2021,6,2,2024,11,30,49
Kate Bush,189,31,1,17,0,0,0,1128,1016,2022,6,1,2022,9,30,136
Katy Perry,161,161,1,1,0,0,0,1506,1506,2021,5,20,2021,5,20,161
Kehlani,191,55,1,3,0,0,0,1184,1170,2022,4,7,2022,4,21,55
Kelly Clarkson,195,29,3,37,0,0,0,1317,190,2021,1,1,2024,12,31,173
Kelsea Ballerini,180,121,1,2,0,0,0,1478,1471,2021,6,17,2021,6,24,121
Kendrick Lamar,200,3,32,63,0,0,0,1149,1,2022,1,1,2025,12,30,55
Kenshi Yonezu,200,11,6,145,0,0,0,1240,1,2022,1,1,2025,12,31,176
Kenya Grace,187,77,1,22,0,0,0,652,505,2023,1,1,2024,12,30,127
Kep1er,190,23,3,35,1,0,0,1268,1030,2022,1,1,2022,9,31,69
Keyshia Cole,198,193,1,3,0,0,0,526,498,2024,1,1,2024,2,25,195
Khalid,181,66,4,8,0,0,0,1436,1149,2021,3,4,2022,11,29,66
KiiiKiii,174,25,1,16,1,0,0,120,15,2025,3,1,2025,6,29,26
Kim MinSeok,199,24,1,43,0,0,0,1268,22,2022,1,1,2025,11,31,142
Kim Na Young,156,75,1,8,0,0,0,1282,1233,2021,1,3,2022,12,30,90
Kim Seungmin,200,23,4,43,0,0,0,1072,204,2022,1,1,2024,12,31,97
Kim Taeri,181,107,1,3,0,0,0,1198,1184,2022,3,7,2022,4,31,107
King Gnu,187,56,2,32,0,0,0,1226,498,2022,1,1,2024,12,31,62
KingLee,180,180,1,1,0,0,0,561,561,2023,12,21,2023,12,21,180
Kocchi no Kento,193,86,1,9,0,0,0,358,302,2024,7,1,2024,9,29,122
Kodak Black,188,1,1,55,0,0,0,778,92,2023,1,1,2025,12,31,137
Kygo,187,127,3,3,0,0,0,1415,1219,2021,3,3,2022,10,21,144
KyoungSeo,199,21,4,52,0,0,0,1562,743,2021,1,1,2023,12,30,134
LABOUM,163,52,1,16,1,0,0,1513,1408,2021,5,1,2021,8,29,87
LANY,199,79,4,14,0,0,0,1464,1366,2021,7,1,2021,10,30,85
LE SSERAFIM,200,1,36,166,1,0,0,1156,1,2022,1,1,2025,12,31,17
LEE CHAE YEON,199,59,1,12,0,0,0,799,722,2023,4,1,2023,7,29,91
LEE CHANGSUB,182,98,1,26,0,0,0,456,274,2024,4,1,2024,10,30,182
LEE CHANHYUK,148,91,1,2,0,0,0,981,974,2022,10,3,2022,11,27,91
LEE SEUNG YOON,185,83,2,7,0,0,0,1268,232,2022,1,3,2024,11,27,106
LEECHANGSUB,199,103,1,38,0,0,0,379,8,2024,1,1,2025,12,31,103
LET ME KNOW,142,142,1,1,0,0,0,442,442,2024,4,18,2024,4,18,142
LILY,170,170,1,1,0,0,0,15,15,2025,6,19,2025,6,19,170
LISA,199,4,8,70,0,0,0,1387,113,2021,1,1,2025,12,31,4
LOONA,180,31,3,14,1,0,0,1457,1100,2021,6,2,2022,9,30,61
LUCY,187,82,4,14,0,0,0,463,50,2024,3,1,2025,8,28,185
Labrinth,165,110,1,2,0,0,0,1212,1205,2022,3,10,2022,3,17,110
Lady Gaga,200,6,8,77,0,0,0,1611,1,2021,1,1,2025,12,31,161
Lana Del Rey,150,150,1,1,0,0,0,771,771,2023,5,25,2023,5,25,150
Laufey,198,142,1,2,0,0,0,554,190,2023,12,26,2024,12,28,198
