main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
JERRY,198,61,1,12,0,0,0,792,715,2023,5,1,2023,7,29,173
JISOO,149,85,1,6,0,0,0,820,785,2023,4,4,2023,5,27,86
JONY,199,33,1,60,0,0,0,1786,1373,2020,1,1,2021,12,31,194
JP Saxe,191,93,1,17,0,0,0,1926,1814,2020,3,2,2020,7,30,123
JVLA,197,108,1,6,0,0,0,1765,1730,2020,9,1,2020,10,24,197
Jaani,199,3,3,49,0,0,0,1051,274,2022,1,1,2024,12,30,169
Jack Harlow,190,101,2,8,0,0,0,1807,1135,2020,4,5,2022,8,30,124
Jahnvi Shrimankar,198,82,1,5,0,0,0,1219,1191,2022,3,3,2022,3,31,117
Jakes Bejoy,198,8,7,20,0,0,0,1051,8,2022,5,2,2025,11,31,187
James Arthur,175,107,2,19,0,0,0,2318,2192,2019,2,2,2019,7,30,107
James Bay,81,81,1,1,0,0,0,2318,2318,2019,2,28,2019,2,28,81
Jasbir Jassi,149,13,1,29,0,0,0,2192,1996,2019,1,1,2020,12,31,36
Jasleen Royal,200,1,8,202,0,0,0,1751,8,2020,1,1,2025,12,31,192
Jasmine Sandlas,171,1,2,117,0,0,0,2003,50,2020,1,1,2025,12,31,10
Jason Derulo,190,127,1,11,0,0,0,1751,1674,2020,9,1,2020,12,29,147
Jaspreet Jasz ,197,31,1,12,0,0,0,1590,1513,2021,2,1,2021,5,29,31
Jass Manak,200,30,11,97,0,0,0,2311,673,2019,1,1,2023,12,31,188
Jassa Dhillon,193,14,4,60,0,0,0,1597,421,2021,1,1,2024,9,31,156
Jassie Gill,200,57,7,26,0,0,0,2269,43,2019,3,1,2025,12,31,126
Jatin-Lalit,200,98,1,58,0,0,0,1380,8,2021,1,1,2025,12,31,178
Jaura Phagwara,189,130,1,9,0,0,0,771,687,2023,5,1,2023,8,29,130
Javed Ali,198,4,7,121,0,0,0,1940,8,2020,1,1,2025,12,31,176
Javed-Mohsin,200,5,3,320,0,0,0,2318,8,2019,1,1,2025,12,31,123
Jawad Ahmad,200,70,1,199,0,0,0,2318,8,2019,1,1,2025,12,31,96
Jawsh 685,198,2,2,58,0,0,0,1842,1443,2020,1,1,2021,12,31,80
Jay Trak,145,145,1,1,0,0,0,2164,2164,2019,8,1,2019,8,1,145
Jaymes Young,181,22,1,42,0,0,0,1303,1009,2021,1,1,2022,12,31,71
Jaz Dhami,190,61,1,3,0,0,0,1198,1184,2022,3,7,2022,4,31,61
Jeet Gannguli,199,32,4,187,0,0,0,1450,8,2021,1,1,2025,12,31,192
Jeetu Sharma,200,15,1,30,0,0,0,1114,715,2022,1,1,2023,12,30,145
Jeremy Zucker,173,171,1,2,0,0,0,1233,1226,2022,2,17,2022,2,24,173
Jigar Saraiya,118,118,1,1,0,0,0,2129,2129,2019,9,5,2019,9,5,118
Jimin,187,36,4,20,0,0,0,1163,274,2022,3,1,2024,10,30,36
Jin,193,64,4,6,0,0,0,1331,36,2021,5,3,2025,11,29,69
Job Kurian,200,173,1,3,0,0,0,50,36,2025,5,15,2025,5,29,200
Joel Corry,200,170,1,2,0,0,0,1744,1737,2020,9,1,2020,10,24,170
John Legend,194,164,1,6,0,0,0,2311,2276,2019,3,4,2019,4,28,185
John Mayer,46,46,1,1,0,0,0,2318,2318,2019,2,28,2019,2,28,46
Joji,188,19,1,14,0,0,0,1107,1016,2022,6,1,2022,9,30,37
Jon Lajoie,198,150,1,4,0,0,0,1338,1317,2021,11,4,2021,11,25,188
