rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
153,spotify:track:3zZ6W6T7TuGJmcyvZ5VRlo,"Colin Firth, Stellan Skarsgård, Amanda Seyfried, Christine Baranski, Julie Walters, Pierce Brosnan",Dancing Queen,Polydor Records,141,152,3,363503,2018-08-16
154,spotify:track:0b9oOr2ZgvyQu88wzixux9,Childish Gambino,This Is America,Wolf+Rothstein/RCA Records,4,145,15,362884,2018-08-16
155,spotify:track:4SZepBIPDRwPaHIjAKwRDb,Travis Scott,R.I.P. SCREW,Cactus Jack / Epic,50,50,2,362683,2018-08-16
156,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,PLG - Capitol,1,177,49,362557,2018-08-16
157,spotify:track:0E6PsO3ymCfUh7pJQjBgkj,The Carters,APESHIT,Parkwood Entertainment/Roc Nation,49,126,8,361849,2018-08-16
158,spotify:track:27a1mYSG5tYg7dmEjWBcmL,Travis Scott,CAN'T SAY,Cactus Jack / Epic,66,66,2,361815,2018-08-16
159,spotify:track:2U5cq89GCnsR1yixKkC8d5,Ramz,Barking,Polydor Records,2,154,37,360017,2018-08-16
160,spotify:track:6Am4CSzDkGSYuiaA6LMtzb,Swarmz,Lyca,EMI,68,171,16,356446,2018-08-16
161,spotify:track:3kGfazcbVvVkuZunzlLgTD,"Sigala, Ella Eyre",Came Here for Love,Ministry of Sound Recordings,7,160,62,353750,2018-08-16
162,spotify:track:7jicciytVTNBXYrIXHs3Hv,"Jeremy Irvine, Lily James, Pierce Brosnan, Amanda Seyfried","Knowing Me, Knowing You",Polydor Records,155,161,3,352970,2018-08-16
163,spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,Atlantic Records UK,5,153,73,352961,2018-08-16
164,spotify:track:4IeXHed9x1xm8fXyrHPnd5,J Hus,Dark Vader,Black Butter,66,162,11,350274,2018-08-16
165,spotify:track:4O2Ik3niDOidE9C47QB3GX,"Amelia Monét, EO",Baddest,Columbia,165,-1,1,349310,2018-08-16
166,spotify:track:3zHvNZPykFJF9ZsExlHHyt,"Not3s, Maleek Berry",Sit Back Down (feat. Maleek Berry),Relentless Records,75,166,24,348781,2018-08-16
167,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,The Kooks,Naive,Virgin Records,68,174,83,348507,2018-08-16
168,spotify:track:2CvOqDpQIMw69cCzWqr5yr,Beyoncé,Halo,Music World Music/Columbia,81,193,28,347677,2018-08-16
169,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Natural,Kid Ina Korner / Interscope,136,184,4,345336,2018-08-16
170,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,Avicii,Wake Me Up,Universal Music AB,16,173,17,345259,2018-08-16
171,spotify:track:2D1MK9oaxy7axXggy3iVbp,"Nicki Minaj, Lil Wayne",Rich Sex (feat. Lil Wayne),Young Money/Cash Money Records,171,-1,1,343368,2018-08-16
172,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther (TDE/DMG) PS,2,159,32,342861,2018-08-16
173,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,5,194,86,341671,2018-08-16
174,spotify:track:6u9RqxALwkjJ1ukB1y8vuP,Florence + The Machine,You've Got The Love,Universal-Island Records Ltd.,126,-1,40,341468,2018-08-16
