main_artist,track_name,Labels,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Ratio Position,MaxMin Ratio Streams,MaxMin Difference Position,MaxMin Difference Streams
Distruction Boyz,Omunye,1,2300,4631,2315.5,156,2,1.0320512820512822,1.0134782608695652,5,31
Distruction Boyz,Uzophuza Amanzi - Original Mix,1,3422,3422,3422.0,175,1,1.0,1.0,0,0
Dixie,Be Happy,1,15101,84700,16940.0,92,5,1.8369565217391304,1.2821005231441627,77,4260
Dj Abux,It Ain't Me (Amapiano) - Radio Edit,4,29528,518908,47173.454545454544,24,11,5.041666666666667,2.4765307504741263,97,43599
Dj Boat,Izolo,1,27790,27790,27790.0,150,1,1.0,1.0,0,0
Dj Boat,Sip (Alcohol),1,25227,25227,25227.0,190,1,1.0,1.0,0,0
Dj Karri,"Trigger (feat. BL Zero, Lebzito & Prime De 1st)",0,25905,1181389,65632.72222222222,11,18,15.272727272727273,3.8159042655857944,157,72946
Dj Melzi,Abazali,1,22493,22493,22493.0,170,1,1.0,1.0,0,0
Dj Melzi,La Melza,1,18606,194185,24273.125,87,8,2.2528735632183907,1.6141029775341287,109,11426
Dj Melzi,Melzi Wa Batho,1,23689,23689,23689.0,178,1,1.0,1.0,0,0
Dj Melzi,Piano Ungenzani,1,24087,80275,26758.333333333332,87,3,1.6781609195402298,1.227923776310873,59,5490
Dj Melzi,Sele Wena,1,31639,31639,31639.0,100,1,1.0,1.0,0,0
Dj Obza,Idlozi Lami,0,19466,1283288,45831.71428571428,10,28,19.9,3.8594986129661977,189,55663
Dj Obza,Kea Tsamaya,1,24890,24890,24890.0,108,1,1.0,1.0,0,0
Dj Obza,Mang' Dakiwe,4,19539,405779,22543.277777777777,77,18,2.2857142857142856,1.4637903679819848,99,9062
Dj Obza,Sthandwa'sam,1,29568,59776,29888.0,119,2,1.0336134453781514,1.0216450216450217,4,640
Dj Sunco,Koko Mmatswale,1,10855,23515,11757.5,192,2,1.0364583333333333,1.1662828189774297,7,1805
Djy Zan SA,Century,1,18790,147472,24578.666666666668,82,6,2.4146341463414633,1.6202767429483769,116,11655
Dladla Mshunqisi,Pakisha,1,3236,22495,3749.1666666666665,138,6,1.355072463768116,1.3322002472187886,49,1075
Dladla Mshunqisi,Uphetheni Esandleni,1,20957,43656,21828.0,149,2,1.2751677852348993,1.0831225843393615,41,1742
Dlala Regal,Dlala Captain,1,21181,66503,22167.666666666668,175,3,1.1142857142857143,1.1010811576412822,20,2141
Dlala Regal,Dlala Captain - Edit,1,30232,30232,30232.0,191,1,1.0,1.0,0,0
Dlala Regal,Umshini,1,26048,203839,29119.85714285714,106,7,1.6981132075471699,1.2134520884520885,74,5560
Dlala Thukzin,Phuze,1,22136,142992,28598.4,58,5,2.9310344827586206,1.7375767979761474,112,16327
Dlala Thukzin,Phuze (Remix) (Radio Edit),0,23093,943243,37729.72,37,25,5.054054054054054,2.083401896678647,150,25019
Doja Cat,Ain't Shit,4,21893,774630,38731.5,17,20,11.352941176470589,2.5388937103183666,176,33691
Doja Cat,Alone,1,21800,21800,21800.0,175,1,1.0,1.0,0,0
Doja Cat,Been Like This,1,27740,27740,27740.0,102,1,1.0,1.0,0,0
Doja Cat,Boss Bitch,4,12898,324865,21657.666666666668,38,15,4.131578947368421,2.0894712358505196,119,14052
Doja Cat,Candy,1,11524,88615,12659.285714285714,102,7,1.7549019607843137,1.2576362374175634,77,2969
Doja Cat,Get Into It (Yuh),0,20495,1286203,33847.44736842105,30,38,6.333333333333333,2.578775311051476,160,32357
Doja Cat,I Don't Do Drugs (feat. Ariana Grande),1,20076,86751,28917.0,51,3,3.372549019607843,2.0702331141661685,121,21486
Doja Cat,Imagine,1,20731,20731,20731.0,195,1,1.0,1.0,0,0
Doja Cat,Juicy,1,8516,8516,8516.0,189,1,1.0,1.0,0,0
Doja Cat,Kiss Me More (feat. SZA),3,27115,3735017,53357.385714285716,3,70,66.33333333333333,3.391075050709939,196,64834
Doja Cat,Love To Dream,1,25256,25256,25256.0,124,1,1.0,1.0,0,0
Doja Cat,Naked,1,25131,25131,25131.0,125,1,1.0,1.0,0,0
Doja Cat,Need to Know,5,25768,2680634,48738.8,5,55,39.6,4.009352685501397,193,77545
Doja Cat,Options (feat. JID),1,26341,26341,26341.0,114,1,1.0,1.0,0,0
Doja Cat,Payday (feat. Young Thug),1,27518,27518,27518.0,106,1,1.0,1.0,0,0
Doja Cat,Say So,4,14110,909372,25982.057142857142,13,35,14.384615384615385,3.078738483345145,174,29331
Doja Cat,Say So (feat. Nicki Minaj),1,16770,220045,27505.625,23,8,4.434782608695652,2.1867024448419796,79,19901
Doja Cat,Streets,5,17624,2371580,38251.290322580644,4,62,49.75,4.2417725828415795,195,57133
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),0,30100,1178488,62025.68421052631,14,19,9.357142857142858,2.60468438538206,117,48301
Doja Cat,Woman,3,21158,3194024,49906.625,13,64,13.76923076923077,3.952027601852727,166,62459
Doja Cat,You Right,0,24155,1634479,32048.607843137255,7,51,27.285714285714285,3.2679776443800455,184,54783
Dominic Fike,3 Nights,0,6276,1208943,13432.7,35,90,5.628571428571429,3.934353091140854,162,18416
Dominic Fike,"Elliot's Song - From ""Euphoria"" An HBO Original Series",1,24861,24861,24861.0,168,1,1.0,1.0,0,0
Don Toliver,5X,1,30268,30268,30268.0,95,1,1.0,1.0,0,0
Don Toliver,After Party,4,13072,927889,21578.81395348837,33,43,5.96969696969697,2.429467564259486,164,18686
Don Toliver,Cardigan,1,14205,36990,18495.0,58,2,2.3620689655172415,1.6040126715945089,79,8580
Don Toliver,Double Standards,1,22469,22469,22469.0,172,1,1.0,1.0,0,0
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis),1,22303,22303,22303.0,175,1,1.0,1.0,0,0
Don Toliver,Euphoria (feat. Travis Scott & Kaash Paige),1,14480,14480,14480.0,130,1,1.0,1.0,0,0
Don Toliver,Flocky Flocky (feat. Travis Scott),1,24968,101838,33946.0,46,3,3.3260869565217392,1.7770746555591157,107,19402
Don Toliver,Had Enough (feat. Quavo & Offset),1,11103,56818,14204.5,68,4,2.838235294117647,1.790957398901198,125,8782
Don Toliver,No Idea,4,12018,585283,18290.09375,28,32,6.857142857142857,2.4048926610084873,164,16884
Don Toliver,Swangin On Westheimer,1,22110,22110,22110.0,180,1,1.0,1.0,0,0
Don Toliver,Way Bigger,1,28524,28524,28524.0,108,1,1.0,1.0,0,0
Don Toliver,What You Need,1,20214,74558,24852.666666666668,105,3,1.6095238095238096,1.4393489660631245,64,8881
Don Toliver,XSCAPE,1,27720,27720,27720.0,116,1,1.0,1.0,0,0
Don Toliver,You (feat. Travis Scott),1,24014,24014,24014.0,153,1,1.0,1.0,0,0
Dove Cameron,Boyfriend,4,27636,755574,39767.05263157895,35,19,5.514285714285714,1.9235417571283833,158,25523
Dr. Dre,Gospel (with Eminem),1,24574,24574,24574.0,191,1,1.0,1.0,0,0
Dr. Dre,Still D.R.E.,1,1099,224881,11835.842105263158,78,19,2.4615384615384617,28.950864422202002,114,30718
Drake,4pm in Calabasas,1,10368,10368,10368.0,130,1,1.0,1.0,0,0
Drake,5 Am in Toronto,1,9366,9366,9366.0,163,1,1.0,1.0,0,0
Drake,7am On Bridle Path,4,24236,350763,70152.6,12,5,14.083333333333334,8.390617263574848,157,179119
Drake,8 Out Of 10,1,3904,51158,10231.6,9,5,18.11111111111111,7.050204918032787,154,23620
Drake,A Keeper,1,26582,192532,64177.333333333336,8,3,21.75,4.740312993755173,166,99425
Drake,After Dark (feat. Static Major & Ty Dolla $ign),1,4600,40572,8114.4,26,5,4.6923076923076925,3.4419565217391304,96,11233
Drake,Behind Barz - Bonus,1,12317,179682,14973.5,49,12,3.020408163265306,1.6835268328326702,99,8419
Drake,Blue Tint,1,3649,36257,7251.4,29,5,6.482758620689655,4.245272677445875,159,11842
Drake,Calling My Name,1,37245,157167,78583.5,13,2,8.0,3.2198147402335886,91,82677
Drake,Can I,1,9472,9472,9472.0,156,1,1.0,1.0,0,0
Drake,Cant Take A Joke,1,4448,47968,9593.6,14,5,9.071428571428571,5.02023381294964,113,17882
Drake,Champagne Poetry,4,25250,863858,66450.61538461539,3,13,60.0,13.463881188118812,177,314713
Drake,Chicago Freestyle (feat. Giveon),3,22429,3229183,32291.83,5,100,40.0,3.1082527085469702,195,47286
Drake,Club Paradise,1,10353,10353,10353.0,131,1,1.0,1.0,0,0
Drake,Controlla,1,3551,3551,3551.0,174,1,1.0,1.0,0,0
Drake,Currents,1,25196,193662,64554.0,6,3,32.833333333333336,5.136926496269249,191,104234
Drake,Days in The East,1,11406,11406,11406.0,115,1,1.0,1.0,0,0
Drake,Deep Pockets,1,14384,58570,29285.0,16,2,8.8125,3.071885428253615,125,29802
Drake,Demons (feat. Fivio Foreign & Sosa Geek),1,17842,56675,28337.5,29,2,3.1724137931034484,2.1764936666293018,63,20991
Drake,Desires (with Future),1,12680,89323,22330.75,21,4,8.952380952380953,3.356230283911672,167,29877
Drake,Dont Matter To Me (with Michael Jackson),1,5692,283145,10486.851851851852,2,27,100.0,6.568517217146873,198,31696
Drake,Down Hill,1,78208,78208,78208.0,27,1,1.0,1.0,0,0
Drake,Draft Day,1,8906,8906,8906.0,181,1,1.0,1.0,0,0
Drake,Dreams Money Can Buy,1,13878,13878,13878.0,84,1,1.0,1.0,0,0
Drake,Elevate,1,4426,66971,11161.833333333334,6,6,28.333333333333332,7.197921373700859,164,27432
Drake,Emotionless,1,4125,85059,12151.285714285714,3,7,62.0,8.899636363636363,183,32586
Drake,F*****g Fans,1,22895,190656,63552.0,27,3,7.185185185185185,5.7802140205285,167,109443
Drake,Fair Trade (with Travis Scott),5,31925,2999562,53563.607142857145,1,56,148.0,12.293343774471417,147,360540
Drake,Fake Love,1,3541,3541,3541.0,178,1,1.0,1.0,0,0
Drake,Falling Back,1,31598,252074,84024.66666666667,3,3,37.0,5.326286473827458,108,136702
Drake,Final Fantasy,1,4191,21460,7153.333333333333,40,3,3.525,2.835361488904796,101,7692
Drake,Finesse,1,4368,41257,8251.4,18,5,7.5,4.035256410256411,117,13258
Drake,Flight's Booked,1,32614,133139,66569.5,17,2,7.882352941176471,3.082265284846998,117,67911
Drake,Fountains (with Tems),4,23576,456255,57031.875,14,8,12.357142857142858,8.150025449609773,159,168569
Drake,From Florida With Love,1,13254,48848,24424.0,32,2,5.125,2.685528896936774,132,22340
Drake,Get Along Better,1,22159,251822,62955.5,21,4,9.0,7.042195044902749,168,133889
Drake,Girls Love Beyonc (feat. James Fauntleroy),1,8447,8447,8447.0,200,1,1.0,1.0,0,0
Drake,Girls Want Girls (with Lil Baby),5,27462,2512087,47397.8679245283,2,53,96.5,14.158400699147913,191,361356
Drake,God's Plan,4,7204,841284,12018.342857142858,1,70,199.0,4.307329261521377,198,23826
Drake,How Bout Now,1,14302,14302,14302.0,80,1,1.0,1.0,0,0
Drake,I Get Lonely,1,8776,8776,8776.0,187,1,1.0,1.0,0,0
Drake,I'm Upset,1,5183,223532,11176.6,5,20,36.2,6.47945205479452,176,28400
Drake,IMY2 (with Kid Cudi),1,27784,221274,73758.0,22,3,6.363636363636363,5.458429311834149,118,123873
Drake,In My Feelings,4,7094,695855,18311.973684210527,1,38,178.0,7.292782633211164,177,44641
Drake,In The Bible (with Lil Durk & Giveon),4,22614,589253,58925.3,7,10,27.285714285714285,11.883390819846113,184,246117
Drake,Intro,1,108080,108080,108080.0,14,1,1.0,1.0,0,0
Drake,Is There More,1,4268,27608,9202.666666666666,20,3,6.85,4.0470946579194,117,13005
Drake,Jaded,1,3571,37855,7571.0,19,5,10.105263157894736,4.857182861943433,173,13774
