End Date,track_name,rank
2025/05/08,Busy Woman,111
2025/05/08,Espresso,16
2025/05/08,Please Please Please,85
2025/05/08,Taste,52
2025/05/15,Busy Woman,127
2025/05/15,Espresso,17
2025/05/15,Please Please Please,94
2025/05/15,Taste,58
2025/05/22,Espresso,20
2025/05/22,Please Please Please,105
2025/05/22,Taste,67
2025/05/29,Espresso,19
2025/05/29,Please Please Please,114
2025/05/29,Taste,67
2025/06/05,Espresso,20
2025/06/05,Please Please Please,115
2025/06/05,Taste,69
2025/06/12,Busy Woman,166
2025/06/12,Espresso,16
2025/06/12,Manchild,1
2025/06/12,Please Please Please,90
2025/06/12,Taste,54
2025/06/19,Busy Woman,154
2025/06/19,Espresso,12
2025/06/19,Manchild,2
2025/06/19,Please Please Please,80
2025/06/19,Taste,51
2025/06/26,Espresso,14
2025/06/26,Manchild,3
2025/06/26,Please Please Please,97
2025/06/26,Taste,58
2025/07/03,Espresso,23
2025/07/03,Manchild,3
2025/07/03,Please Please Please,113
2025/07/03,Taste,82
