main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
Kyle Watson,This Ain't Bristol,"","","","","","",42073
The Lowkeys,Sound African Recordings,"","","","","","",41726
Stormzy,#Merky Records,"","","","","","",41593
Anne-Marie,Asylum Records,"","","","","","",41207
Kygo,Universal Music AB,"","","","","","",40695
Bryce Vine,Sire,"","","","","","",40391
Yanga Chief,Sound African Recordings,"","","","","","",40345
MAX,Colour Vision Records,Sony Music Entertainment,"","","","","",39873
Joey Bada$$,Columbia,"","","","","","",39840
Paul Rosenberg,Aftermath,"","","","","","",39754
Sonder,Sonder Global,"","","","","","",39650
Jay Music,Jay Music Production,"","","","","","",39476
Joyous Celebration,Sound African Recordings,"","","","","","",39448
BLUE TAPE,Revenge Club Records,"","","","","","",39133
Black Motion,Spirit Motion,"","","","","","",38777
Lil Xan,Columbia,"","","","","","",38601
Louis The Child,Louis The Child, Interscope,"","","","","",37809
Armin van Buuren,Armada Music Bundles,"","","","","","",37672
Leeland,Integrity Music,"","","","","","",37441
Ren,Select,"","","","","","",37402
Gyakie,SM Entertainment West Africa Limited,"","","","","","",37285
Mfana Kah Gogo,Sound African Recordings,"","","","","","",37202
N.E.R.D,i am OTHER,Columbia,"","","","","",37177
August Alsina,Shake the World, EMPIRE,"","","","","",37138
Travis Scott,Warner Bros. Entertainment Inc.,"","","","","","",36505
Michael Jackson,Epic,Legacy,"","","","","",36314
Soweto's Finest,Universal Music (Pty) Ltd.,"","","","","","",36297
Ntokzin,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",36287
Victony,Encore Recordings LLC,"","","","","","",36073
Nkosazana_Daughter,Universal Music (Pty) Ltd.,"","","","","","",35643
Nissi,Spaceship Records, EMPIRE,"","","","","",35626
Future,Generation Now,Atlantic,"","","","","",35622
TAEYANG,THEBLACKLABEL,Interscope Records,"","","","","",35385
Smokepurpp,Alamo,"","","","","","",35349
Takeoff,Quality Control Music,Motown Records,Capitol Records,"","","","",35305
Eduardo XD,EduardoLuzquinos2021,"","","","","","",35196
John Mayer,Columbia,"","","","","","",35004
TiMO ODV,Universal Music (Pty) Ltd.,"","","","","","",34879
Uncle Vinny,THE GOVERNMENT,"","","","","","",34859
Bezza,Napalm Prod,"","","","","","",34485
ZAYN,Walt Disney Records,"","","","","","",34293
Fifth Harmony,Syco Music,Epic,"","","","","",34013
Gwen Stefani,UMGRI Interscope,"","","","","","",33972
Simmy,Sound African Recordings,"","","","","","",33725
Madison Beer,Access Records,"","","","","","",33506
Balcony Mix Africa,Balcony Mix Africa Under Exclusive License to emPawa Africa Limited,"","","","","","",33332
Jon Bellion,Capitol Records (CAP),"","","","","","",33332
Marshmello,Monstercat,"","","","","","",33247
Lojay,KORATORI,"","","","","","",33220
twocolors,Virgin,"","","","","","",32978
Cian Ducrot,Polydor Records,"","","","","","",32715
Riky Rick,Mabala Noise Entertainment,"","","","","","",32585
DJ Ganyani,Ganyani Entertainment,"","","","","","",32449
Drip Gogo,Sound African Recordings,"","","","","","",32259
2 Chainz,Def Jam Recordings,"","","","","","",32044
Rag'n'Bone Man,Best Laid Plans,Columbia,"","","","","",31975
charlieonnafriday,Onnafriday Records, Island Records,"","","","","",31771
John Legend,Columbia,"","","","","","",31724
Smash Mouth,Interscope,"","","","","","",31681
Future,Epic,"","","","","","",31374
NAV,XO Records LLC and Republic Records,"","","","","","",31143
Daryl Hall & John Oates,Legacy Recordings,"","","","","","",31061
FLETCHER,Capitol Records,"","","","","","",30914
BLEU,Moon Boy University, EMPIRE,"","","","","",30861
A-Reece,Platoon,"","","","","","",30783
Beyonc,Columbia,"","","","","","",30461
William Last KRM,Kaofela Re Mapantsula,"","","","","","",30406
Camidoh,Crux Global, MOVES Recordings,"","","","","",30388
Snoh Aalegra,Artium Recordings LLC,"","","","","","",30298
Holly Rey,Content Connect Africa,"","","","","","",30251
Tee Jay,Universal Music (Pty) Ltd.,"","","","","","",30073
Smino,Motown Records,"","","","","","",29746
Eurythmics,RCA Records Label,"","","","","","",29717
Leona Lewis,Syco Music UK,"","","","","","",29646
Elton John,UMC (Universal Music Catalogue),"","","","","","",29518
Darlene Love,Legacy Recordings,"","","","","","",29500
Robin Schulz,WM Germany,"","","","","","",29373
DJ Snake,DJ Snake Def Jam,"","","","","","",29346
Lebza TheVillain,VILLAIN MUSIQ, Top Tier Music, EMPIRE,"","","","",29298
Baby Keem,Baby Keem LLC,"","","","","","",29114
James Blake,Polydor Records,"","","","","","",28973
Blaqnick & MasterBlaq,Blaqwav Entertainment,"","","","","","",28935
Nkulee501,Piano Hub,"","","","","","",28920
Alec Benjamin,Elektra (NEK),"","","","","","",28885
Juice WRLD,Juice WRLD, Interscope PS,"","","","","",28594
Iyanya,Ziiki Media,"","","","","","",28555
Alesso,10:22 pm,Astralwerks,"","","","","",28412
Nicky Jam,Sony Music Latin,"","","","","","",28335
Joji,88rising Music,12Tone Music LLC,Columbia,"","","","",28329
Stray Kids,Republic Records - Stray Kids,"","","","","","",28318
Kelly Clarkson,Atlantic Records,"","","","","","",28133
Sean Paul,Universal-Island Records Ltd.,"","","","","","",28107
Ice Spice,Worldstar,"","","","","","",28106
Nathan Dawe,Atlantic Records UK,"","","","","","",28066
Dax,Living Legends Entertainment,"","","","","","",28033
Kevin Gates,Bread Winners' Association,Atlantic,"","","","","",27856
Normani,RCA Records Label,"","","","","","",27852
Mafikizolo,Universal Music (Pty) Ltd.,"","","","","","",27798
Demi Lee Moore,WM South Africa,"","","","","","",27700
Ami Faku,WM South Africa,"","","","","","",27660
Goya Menor,Independent,"","","","","","",27499
Caltonic SA,Ejarden Entertainment,"","","","","","",27177
Theuns Jordaan,THEUNS JORDAAN PRODUCTIONS CC,"","","","","","",26921
Marshmello,Warner Records,"","","","","","",26575
Dinky Kunene,House of Makunene,"","","","","","",26522
DJ Hlo,Maz Entertainment,"","","","","","",26453
6ix9ine,Scumgang Records, TenThousand Projects LLC,"","","","","",26101
Tony Bennett,Columbia,Legacy,"","","","","",26083
Nicole Elocin,New Money Gang Records,"","","","","","",25958
NLE Choppa,No Love Entertainment,"","","","","","",25906
Bruce Springsteen,NITRON concepts,"","","","","","",25700
Drizzy Sam Rsa,Open Mic Productions,"","","","","","",25613
Nipsey Hussle,Six Course Music Group,RCA Records,"","","","","",25503
Nicki Minaj,Universal Records,"","","","","","",25430
Ntokzin,Groove Natives,"","","","","","",25374
Boity,Universal Music (Pty) Ltd.,"","","","","","",25098
Niniola,DRUMROLL RECORDS,"","","","","","",24849
XXXTENTACION,Columbia,"","","","","","",24731
Tshego,Universal Music (Pty) Ltd.,"","","","","","",24684
Elvis Presley,RCA Victor,"","","","","","",24683
Luude,Sweat It Out,"","","","","","",24608
2 Chainz,Gamebread LLC, Def Jam Recordings,"","","","","",24597
Dr. Dre,Aftermath,Interscope Records,"","","","","",24574
Vhudie,Vhudie Music,"","","","","","",24210
Focalistic,Major League Music,"","","","","","",24137
Sueco,Atlantic Records,"","","","","","",23872
Charli XCX,Atlantic Records UK,"","","","","","",23867
Bring Me The Horizon,RCA Records Label,"","","","","","",23812
$NOT,300 Entertainment,"","","","","","",23789
TOKYOS REVENGE,Blac Noize! Recordings,"","","","","","",23778
Lira,Otarel Music,"","","","","","",23719
Daya,Interscope Records,"","","","","","",23611
Dj Sunco,soul spirit productions,"","","","","","",23515
Seeb,Universal Music AS,"","","","","","",23443
Joeboy,emPawa Africa Limited,"","","","","","",23425
$uicideboy$,G59 Records,"","","","","","",23341
MASN,RCA Records Label,"","","","","","",23301
James Bay,Republic Records,"","","","","","",22998
BoyWithUke,BoyWithUke,"","","","","","",22922
Gobi Beast,Dingaans Day Ent,"","","","","","",22852
Nick Jonas,Island Records,"","","","","","",22758
Kabza De Small,NEW MONEY GANG  PIANO HUB & JACQUEL ENTERTAINMENT GROUP,"","","","","","",22671
Daryl Hall & John Oates,RCA,BMG Heritage,"","","","","",22469
TDK Macassette,Bathathe Wena,"","","","","","",22414
Marcus MC,Superstar Studios,"","","","","","",22388
Sayfar,The T Effect,"","","","","","",22315
Shouse,Hell Beach,"","","","","","",22292
Kari Jobe,Sparrow (SPR),"","","","","","",22242
Nipsey Hussle,Atlantic Records,"","","","","","",22149
Selena Gomez,Selena Gomez Latin Project,"","","","","","",22087
Cash Cash,Big Beat Records,"","","","","","",22057
Andile Mpisane,Royal Am Entertainment under Exclusive License to Ownit Music,"","","","","","",21870
Kelvin Momo,Piano Hub (PTY) LTD,"","","","","","",21869
Frank Ocean,Blonded,"","","","","","",21722
Leona Lewis,Syco Music,"","","","","","",21656
Zahara,WM South Africa,"","","","","","",21445
Matthew Mole,Universal Music (Pty) Ltd.,"","","","","","",21382
Amanda Black,Sound African Recordings,"","","","","","",21283
Joey Fatts,Cutthroat Records,"","","","","","",20830
Vusi Nova,Muthaland Entertainment,"","","","","","",20660
Tate McRae,Not specified,"","","","","","",20478
Nija,Parkwood Entertainment,Columbia,"","","","","",20467
Sofa Reyes,WEA Latina,"","","","","","",20249
DMX,Def Jam Recordings,"","","","","","",20217
Jason Derulo,Future History,Artist Partner Group Inc.,"","","","","",20045
DMX,RAL,"","","","","","",19964
U2,UMC (Universal Music Catalogue),"","","","","","",19920
Kamo Mphela,NTS,"","","","","","",19834
Pedro Cap,Sony Music Latin,"","","","","","",19830
ILuvJupiter,Early A.M,"","","","","","",19655
Juluka,Universal Music (Pty) Ltd.,"","","","","","",19490
Zandimaz,Ziiki Media,"","","","","","",19176
Joyner Lucas,Dead Silence,Atlantic,"","","","","",19143
Marshmello,Joytime Collective,Columbia,"","","","","",18916
Kwesta,Dope Dreams Co.,"","","","","","",18857
ROS,YG Entertainment,Interscope Records,"","","","","",18805
Pooh Shiesty,Atlantic Records,"","","","","","",18435
DJ Big Sky,UMG Recordings Inc.,"","","","","","",18348
Falz,BahdGuys Entertainment,"","","","","","",18243
Busta Rhymes,The Conglomerate Entertainment Inc., EMPIRE,"","","","","",18127
WATTS,Keep Cool,RCA Records,"","","","","",17948
Juice WRLD,Grade A,Posty,Interscope,Republic,"","","",17816
Rob $tone,RCA Records Label,"","","","","","",17574
Marshmello,Joytime Collective,RCA Records,Effective Records,"","","","",17530
Fort Minor,Machine Shop,Warner Records,"","","","","",17457
ANATII,Yal Entertainment,"","","","","","",17451
Mike WiLL Made-It,Atlantic Records,"","","","","","",17405
Alicia Keys,RCA Records Label,"","","","","","",17185
Nicki Minaj,Nicki Minaj,Cash Money,"","","","","",17109
Keala Settle,Atlantic Records,"","","","","","",17059
Ella Mai,10 Summers,Interscope Records,"","","","","",17029
Sun-El Musician,El World,"","","","","","",16938
A-Reece,RUBBERBVNDGANG,"","","","","","",16785
Jake Paul,stop tryna see who put this out,"","","","","","",16773
Erica Banks,1501 Certified Ent,Warner Records,"","","","","",16529
Sho Madjozi,Epic,"","","","","","",16494
grandson,Atlantic Records,"","","","","","",16448
Da Les,Fresh 2 Def Productions,"","","","","","",16366
Sabrina Carpenter,Hollywood Records,"","","","","","",16274
Little Mix,RCA Records Label,"","","","","","",16225
XXXTENTACION,Members Only, EMPIRE,"","","","","",15995
Busiswa,Majesty Music Entertainment,"","","","","","",15868
Jacquees,Cash Money Records,"","","","","","",15785
Lil Skies,All We Got Ent.,"","","","","","",15755
Mthandazo Gatya,Universal Music (Pty) Ltd.,"","","","","","",15677
Gee Six Five,Music Aggregator,"","","","","","",15603
Matthew Mole,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",15576
Anderson .Paak,Aftermath,"","","","","","",15432
Childish Gambino,Glassnote Entertainment Group LLC,"","","","","","",15294
Vusi Nova,CYPHA, MUTHALAND,"","","","","",14939
Steve Hofmeyr,WM South Africa,"","","","","","",14880
Pop Smoke,Republic Records,"","","","","","",14840
Lennon Stella,Records,Columbia,"","","","","",14704
Lil Yachty,Quality Control Music LLC,"","","","","","",14668
R. Kelly,Jive,"","","","","","",14576
Bryson Tiller,RCA Records Label,"","","","","","",14535
Britney Spears,Jive,"","","","","","",14316
The Lumineers,Decca (UMO),"","","","","","",14278
Jeremy Loops,Decca (UMO),"","","","","","",14050
Sista Prod,Sista Prod,Atlantic,"","","","","",14050
Shado M,Boss Entertainment (Pty) Ltd,"","","","","","",14005
Agust D,BIGHIT MUSIC,"","","","","","",13984
Nea,Milkshake,"","","","","","",13838
Wallows,Atlantic Records,"","","","","","",13734
Majid Jordan,OVO Sound,Warner Records,"","","","","",13674
Kabza De Small,Gentle Soul Records,"","","","","","",13635
Jonas Brothers,Jonas Brothers,"","","","","","",13626
Demi Lovato,Island Records,Hollywood Records,"","","","","",13566
Bas,J. Cole, DreamVille,"","","","","",13398
J Balvin,Universal Music Latino, NEON16,"","","","","",13248
Burna Boy,Parkwood Entertainment,Columbia,"","","","","",13207
Frank Sinatra,Capitol Records,"","","","","","",12886
Trippie Redd,1400 Entertainment Inc., TenThousand Projects LLC,"","","","","",12814
Mr JazziQ,JazziDisciples ENT,"","","","","","",12792
Cline Dion,Columbia,"","","","","","",12718
Teyana Taylor,Getting Out Our Dreams Inc.,Def Jam Recordings,"","","","","",12577
Megan Thee Stallion,Atlantic Records,"","","","","","",12568
KDDO,SM Entertainment West Africa Limited,"","","","","","",12427
ZAYN,Big Machine Records LLC,"","","","","","",12328
Jay Electronica,Roc Nation LLC,"","","","","","",12283
Anderson .Paak,Aftermath,12 Tone Music LLC,"","","","","",12204
KayGee DaKing,Open Mic Productions,"","","","","","",12033
Tekno,Parkwood Entertainment,Columbia,"","","","","",11978
Black Eyed Peas,Epic,"","","","","","",11926
Earth,Columbia,Legacy,"","","","","",11734
Offset,Quality Control Music,Motown Records,Capitol Records,"","","","",11266
G Herbo,Machine Entertainment Group - G Herbo,"","","","","","",11159
Cardi B,KSR,Atlantic,"","","","","",10874
Cassper Nyovest,Family Tree,"","","","","","",10864
Young Thug,Epic,300 Entertainment,Atlantic Recordings Corporation,"","","","",10855
Cashmere Cat,Benny Blanco Major,"","","","","","",10760
Mike WiLL Made-It,Mike WiLL Made-It,"","","","","","",10758
Tiwa Savage,Parkwood Entertainment,Columbia,"","","","","",10684
BTS,TakeOne Company | BigHit Entertainment,"","","","","","",10461
Mumford & Sons,Universal-Island Records Ltd.,"","","","","","",10343
AJR,Black Butter,"","","","","","",10153
Britney Spears,Legacy Recordings,"","","","","","",10042
Lil Pump,Warner Bros.,"","","","","","",9979
Distruction Boyz,Distruction boyz records,"","","","","","",9912
Salatiel,Parkwood Entertainment,Columbia,"","","","","",9447
A$AP Ferg,RCA Records Label,"","","","","","",9342
Florence + The Machine,EMI,"","","","","","",9244
Ami Faku,Vth Season,"","","","","","",8925
Joyner Lucas,Joyner Lucas,"","","","","","",8719
Bad Wolves,Eleven Seven Music,"","","","","","",8715
Stevie Wonder,UNI,MOTOWN,"","","","","",8677
Alan Walker,Kreatell Music,"","","","","","",8648
TOOL,RCA Records Label,"","","","","","",8624
Robinson,Dryden Street,"","","","","","",8611
Big Shaq,Universal-Island Records Ltd.,"","","","","","",8456
David Scott,Kiff Records,"","","","","","",8421
Lil Wayne,Atlantic Records,"","","","","","",8416
Jessie Reyez,FMLY,"","","","","","",8276
Ed Sheeran,Decca (UMO),"","","","","","",8148
Gemini Major,Rudebouy Major,"","","","","","",8109
Stillaround,EARLY AM,"","","","","","",8069
Alec Benjamin,P2020,"","","","","","",7990
Anuel AA,2019 Real Hasta La Muerte LLC.,"","","","","","",7927
Johnny Clegg & Savuka,Scatterlings,"","","","","","",7908
Spoegwolf,Spoegwolf (Pty) Ltd,"","","","","","",7891
Slipknot,Roadrunner Records,"","","","","","",7855
The 1975,Polydor Records,"","","","","","",7479
Foster The People,Columbia,"","","","","","",7407
Desiigner,Getting Out Our Dreams Inc. (G.O.O.D.) Music, IDJ,"","","","","",7365
Bastille,Virgin Records Ltd,"","","","","","",7335
Dennis Lloyd,Arista Records,"","","","","","",7195
Blackstreet,Interscope,"","","","","","",7053
Jay Rock,Top Dawg Ent.,Interscope Records,"","","","","",7029
Mike WiLL Made-It,Creed 2 Soundtrack,"","","","","","",6981
The Pogues,WM UK,"","","","","","",6651
Christina Aguilera,RCA Records Label,"","","","","","",6630
Jeremy Zucker,Republic Records,"","","","","","",6579
Kiiara,Atlantic Records,"","","","","","",6515
Ella Fitzgerald,Verve Reissues,"","","","","","",6497
mgk,Bad Boy, Interscope,"","","","","",6403
Los Unidades,Parlophone UK,"","","","","","",6394
Zac Efron,Atlantic Records,"","","","","","",6359
Lil Yachty,Quality Control Music,Motown Records,Capitol Records,"","","","",6219
pewdiepie,Party In Backyard,"","","","","","",5829
Mike Posner,Monster Mountain LLC, Island,"","","","","",5745
Mr. Probz,Left Lane Recordings,"","","","","","",5533
Dee-Jay,Indie,"","","","","","",5412
Frank Casino,Globe Field,"","","","","","",5241
BlocBoy JB,Bloc Nation,"","","","","","",5239
ANATII,Content Connect Africa,"","","","","","",5212
Armin van Buuren,Armada Music Albums,"","","","","","",5111
DMX,UMG Recordings Inc.,"","","","","","",4751
GASHI,Honesty Saves Time,RCA Records,"","","","","",4461
Gnarls Barkley,WM UK,"","","","","","",4298
Jessie J,Lava Music,Republic Records,"","","","","",4025
DJ Durel,Quality Control Music LLC,"","","","","","",3715
Distruction Boyz,Soulful Horizons Music,"","","","","","",3422
BlocBoy JB,BlocBoy JB,"","","","","","",3271
Red Hot Chili Peppers,Warner Records,"","","","","","",3171
Vigiland,Universal Music AB,"","","","","","",3166
Teyana Taylor,Getting Out Our Dreams Inc. (G.O.O.D.) Music, IDJ,"","","","","",3142
Kid X,Sound African Recordings,"","","","","","",2978
Felix Jaehn,Virgin,"","","","","","",2906
Poo Bear,Bearthday Music LLC,"","","","","","",2884
Lost Frequencies,Found Frequencies,"","","","","","",2731
Toploader,Sony Soho Square,"","","","","","",2419
Petit Biscuit,Petit Biscuit Music,"","","","","","",2403
Hillsong Worship,Hillsong Music and Resources LLC,"","","","","","",2279
Jason Isbell and the 400 Unit,Southeastern Records,"","","","","","",2236
AC/DC,Columbia,"","","","","","",2177
YBN Nahmir,2018,"","","","","","",2151
Heavy-K,DrumbossMusik,"","","","","","",2131
CamelPhat,Defected Records,"","","","","","",2090
Nasty C,Coke Studio Africa,"","","","","","",2086
Papa Roach,Geffen,"","","","","","",2060
Migos,Quality Control Music,"","","","","","",2046
KALEO,Elektra (NEK),"","","","","","",1192
