main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
ROS,Atlantic Records,"","","","","","",5598660
$,Ye,"","","","","","",5548170
Deep London,Cycad Wave,"","","","","","",5486668
New Edition,Geffen*,"","","","","","",5483605
Alex Warren,Atlantic Records,"","","","","","",5479611
Rema,Mavin Records,Jonzing World,"","","","","",5464929
Tems,Leading Vibe Ltd,"","","","","","",5453354
Barto,Select,"","","","","","",5436210
Nandipha808,Stena Academy,"","","","","","",5415682
Brent Faiyaz,Lost Kids LLC. Marketed by Venice, Stem,"","","","","",5409125
Kygo,Kygo,"","","","","","",5405869
Lauv,Lauv,"","","","","","",5326993
Roddy Ricch,Atlantic Records,"","","","","","",5308488
Pabi Cooper,Cooper Entertainment,"","","","","","",5293005
David Kushner,Miserable Music Group LLC,"","","","","","",5285117
XXXTENTACION,Bad Vibes Forever, EMPIRE,"","","","","",5157296
Marshmello,Astralwerks,"","","","","","",5114424
Eloff,Select,"","","","","","",5078697
Joel Corry,Atlantic Records UK,"","","","","","",5067587
Q-Mark,Cloud9ne Entertainment,"","","","","","",5016463
DJ Kent,Spinnin' Deep,"","","","","","",4981312
Mduduzi Ncube,Nkabi Records,"","","","","","",4966385
Dlala Thukzin,Dlala Records and Funko Media,"","","","","","",4951774
Uncle Waffles,KO-SIGN PTY LTD. Encore Recordings,"","","","","","",4949113
Senior Oat,The Oat Records,"","","","","","",4944583
DBN Gogo,Universal Music (Pty) Ltd.,"","","","","","",4917823
Central Cee,Columbia,"","","","","","",4876186
Killorbeezbeatz,Killorbeez Records,"","","","","","",4869399
24kGoldn,Records,Columbia,"","","","","",4825815
Blxckie,M4 Entertainment,"","","","","","",4820849
Tebza De DJ,Music Band Production, EMPIRE,"","","","","",4779187
Playboi Carti,AWGE,Interscope Records,"","","","","",4754840
John Legend,G.O.O.D. Music,Columbia,"","","","","",4664183
Dasha,Warner Records,"","","","","","",4632928
Halsey,Capitol Records,"","","","","","",4541163
MRDA,Asante Music,"","","","","","",4502913
Zee Nxumalo,KwaNxumalo,"","","","","","",4484284
SAINt JHN,Columbia,B1 Recordings,"","","","","",4464636
Ice Spice,10K Projects,Capitol Records,"","","","","",4426730
H.E.R.,MBK Entertainment,RCA Records,"","","","","",4421406
Mafikizolo,Kalawa Jazmee,"","","","","","",4420799
MEDUZA,Universal-Island Records Ltd.,"","","","","","",4420025
Lady Gaga,A Star is Born OST,"","","","","","",4395446
Megadrumz,Open Mic Productions,"","","","","","",4389744
Dj Moscow,Sambo Records,"","","","","","",4371985
Khalil Harrison,Baby Blue Entertainment,"","","","","","",4339012
Internet Money,Internet Money Records, TenThousand Projects,"","","","","",4326676
Drake,Cash Money,Drake LP6,"","","","","",4322244
Lil Baby,Quality Control Music,Young Stoner Life Records a 300 Entertainment Label,Motown Records,Capitol Records,"","","",4284334
Jimmy Maradona,Sound African Recordings,"","","","","","",4273110
Shandesh,Shandesh Music,"","","","","","",4261499
Gigi Perez,Gigi Perez PS, Island,"","","","","",4253883
Vigro Deep,Universal Music (Pty) Ltd.,"","","","","","",4250062
Ch'cco,R1+0 CARTEL,"","","","","","",4233169
Noah Kahan,Mercury Records,Republic Records,"","","","","",4179782
Da Gifto,DHF Records,"","","","","","",4177941
DJ Jaivane,Ziiki Media,"","","","","","",4135380
Drake,OVO Sound,"","","","","","",4087661
Khuthuza,5932550 Records DK,"","","","","","",4036902
Big Nuz,Afrotainment,"","","","","","",3981505
Lil Uzi Vert,Generation Now,Atlantic,"","","","","",3980059
Giveon,Epic,"","","","","","",3973207
benny blanco,Friends Keep Secrets,Interscope Records,"","","","","",3967976
Deejaykgosi,Wanitwa Mos Entertainment,"","","","","","",3965476
King Monada,King Monada Music,"","","","","","",3927225
Cardi B,Atlantic,KSR,"","","","","",3913043
Scotts Maphuma,Gipa Entertainment,"","","","","","",3862592
Kabza De Small,New Money Gang,"","","","","","",3844630
SjavasDaDeejay,SjavasDaDeejay,"","","","","","",3829910
