original_name,match_name,score,match_index
rudebouy major,rudebouy major,100.0,24789
2023 hgalvrn record love renaiss,2023 hgalvrn record love renaiss,100.0,24893
gigi perez,gigi perez,100.0,24908
gigi perez island,gigi perez island,100.0,24910
cmginterscop record,cmginterscop record,100.0,25561
wm,wm,100.0,25585
dingaan day,dingaan day,100.0,25586
some action,some action,100.0,25644
lea record,lea record,100.0,25653
graci abram under exclus licens to interscop record,graci abram under exclus licens to interscop record,100.0,25674
guwop enterprisesatlant,guwop enterprisesatlant,100.0,25707
sm entertain west africa limit,sm entertain west africa limit,100.0,25976
hooch entertain grouphooch event,hooch entertain grouphooch event,100.0,26092
republicuniversalfsf,republicuniversalfsf,100.0,26127
univers music india pvt,univers music india pvt,100.0,26464
relentless record,relentless record,100.0,27067
drumbossmusik,drumbossmusik,100.0,27073
drumboss musik,drumboss musik,100.0,27074
hillsong music and resourc,hillsong music and resourc,100.0,27078
big fish,big fish,100.0,27079
rubywork universalisland record,rubywork universalisland record,100.0,27116
earli am,earli am,100.0,62877
famifellaz entertain group,famifellaz entertain group,100.0,27168
interworld,interworld,100.0,27183
ingoma,ingoma,100.0,27188
kreativekornerr,kreativekornerr,100.0,27198
10k projectscapitol record,10k projectscapitol record,100.0,27228
worldstar,worldstar,100.0,27260
heavi on it10k projectscapitol record,heavi on it10k projectscapitol record,100.0,27261
kid ina korner interscop,kid ina korner interscop,100.0,27286
kidinakornerinterscop record,kidinakornerinterscop record,100.0,27495
music freedom,music freedom,100.0,27771
inkosyamagcokama,inkosyamagcokama,100.0,27958
internet money records tenthousand project,internet money records tenthousand project,100.0,27971
internet money 10k project,internet money 10k project,100.0,27977
intim worshipp,intim worshipp,100.0,28081
top dawg entertainmentwarn record,top dawg entertainmentwarn record,100.0,28156
3144991 record dk,3144991 record dk,100.0,28165
issa sisdoh,issa sisdoh,100.0,28167
6365723 record dk,6365723 record dk,100.0,28188
univers music latino neon16,univers music latino neon16,100.0,28193
bmt entertain,bmt entertain,100.0,28202
dreamvil under exclus licens to roc nation record,dreamvil under exclus licens to roc nation record,100.0,28209
j cole p d,j cole p d,100.0,28213
cole world under exclus licens to interscop record,cole world under exclus licens to interscop record,100.0,28218
roc nation record,roc nation record,100.0,28279
roc nation,roc nation,100.0,28729
cactu jack epic,cactu jack epic,100.0,28944
dreamvilleinterscop,dreamvilleinterscop,100.0,28987
jvke,jvke,100.0,29132
cash money record,cash money record,100.0,29418
msftsmusic roc nation record,msftsmusic roc nation record,100.0,29430
msftsmusic roc nation record,msftsmusic roc nation record,100.0,29430
stop tryna see who put thi out,stop tryna see who put thi out,100.0,29443
columbia local,columbia local,100.0,29444
wm australia,wm australia,100.0,29849
univers music canada,univers music canada,100.0,29853
riri entertain,riri entertain,100.0,29885
janesh,janesh,100.0,29906
beluga heightswarn record,beluga heightswarn record,100.0,29945
futur historyartist partner group,futur historyartist partner group,100.0,29956
robot human,robot human,100.0,29957
southeastern record,southeastern record,100.0,30003
atlant recordsatg,atlant recordsatg,100.0,30004
roc nation,roc nation,100.0,28729
1713874 record dk,1713874 record dk,100.0,30145
jay music product,jay music product,100.0,30158
black panther tdedmg p,black panther tdedmg p,100.0,30159
top dawg entinterscop record,top dawg entinterscop record,100.0,30175
the flight club record,the flight club record,100.0,30177
sixxtun africa pti,sixxtun africa pti,100.0,30208
jaziel music product,jaziel music product,100.0,30214
jazzidiscipl,jazzidiscipl,100.0,30233
jeremi loop,jeremi loop,100.0,30249
lava musicrepubl record,lava musicrepubl record,100.0,30338
fmli,fmli,100.0,30339
jnr choiep,jnr choiep,100.0,30429
feel good music,feel good music,100.0,30441
empawa africa limit,empawa africa limit,100.0,30500
perfect havoc asylum record,perfect havoc asylum record,100.0,30501
cutthroat record,cutthroat record,100.0,30659
good musiccolumbia,good musiccolumbia,100.0,30665
emi catalogu,emi catalogu,100.0,30836
scatterl,scatterl,100.0,30850
88rise music12ton music llccolumbia,88rise music12ton music llccolumbia,100.0,30852
88rise musicwarn record,88rise musicwarn record,100.0,30854
capitol record cap,capitol record cap,100.0,30897
positiva,positiva,100.0,30903
jona brother record,jona brother record,100.0,31032
jona brother,jona brother,100.0,31038
indigo kid record,indigo kid record,100.0,31223
19 record,19 record,100.0,31258
famm,famm,100.0,31260
atlant record raedio,atlant record raedio,100.0,31299
de discipl trade,de discipl trade,100.0,31307
de discipl record,de discipl record,100.0,31308
joyner luca,joyner luca,100.0,31541
dead silenceatlant,dead silenceatlant,100.0,31542
twenti nine music group joyner luca,twenti nine music group joyner luca,100.0,31545
twenti nine music group,twenti nine music group,100.0,31552
jrecord,jrecord,100.0,31615
rare breed entertain,rare breed entertain,100.0,31617
juic wrld mixtap isr p d,juic wrld mixtap isr p d,100.0,31624
grade a productionsinterscop record,grade a productionsinterscop record,100.0,31718
juic wrld interscop p,juic wrld interscop p,100.0,31971
grade apostyinterscoperepubl,grade apostyinterscoperepubl,100.0,31987
jrepubl,jrepubl,100.0,32542
katara studio 2101 record under exclus licens to unitedmast,katara studio 2101 record under exclus licens to unitedmast,100.0,32571
rocka empir,rocka empir,100.0,32597
rbmgdef jam,rbmgdef jam,100.0,32620
justin bieber 2021 def jam,justin bieber 2021 def jam,100.0,32892
friend keep secretsdef jam recordingsinterscop record,friend keep secretsdef jam recordingsinterscop record,100.0,32950
rare sound interscop empir,rare sound interscop empir,100.0,33131
tusa karol g nicki minaj,tusa karol g nicki minaj,100.0,33245
matt record empir,matt record empir,100.0,33270
independ popular,independ popular,100.0,33359
