main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2,1058,33,27,27,3,137141,1,0,6,155073,46938.0,309357.0,51559.5,133.0,6.0,31.0,9409.0,1.2330827067669172,1.2004559205760792,1
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",3,1060,18,18,33,4,155073,1,0,-15,155073,44450.0,90945.0,45472.5,183.0,2.0,14.0,2045.0,1.0765027322404372,1.0460067491563554,1
Billie Eilish,lovely (with Khalid),268,1052,76,22,74,271,76772,1,0,2,84666,91408.0,306939.0,102313.0,21.0,3.0,47.0,24924.0,3.238095238095238,1.2726676002100472,1
Billie Eilish,lovely (with Khalid),269,1053,76,22,76,272,69777,1,0,0,84666,44420.0,232085.0,46417.0,172.0,5.0,26.0,4533.0,1.1511627906976745,1.1020486267447096,1
Billie Eilish,lovely (with Khalid),270,1055,72,22,76,273,69860,1,0,-4,84666,71627.0,475247.0,79207.83333333333,54.0,6.0,43.0,22327.0,1.7962962962962963,1.3117120638865232,1
Billie Eilish,lovely (with Khalid),271,1057,80,22,72,274,69696,1,0,8,84666,44989.0,305340.0,50890.0,135.0,6.0,49.0,10312.0,1.362962962962963,1.2292115850541243,1
Billie Eilish,lovely (with Khalid),272,1059,90,22,80,275,77313,1,0,10,84666,45007.0,292620.0,48770.0,156.0,6.0,25.0,10451.0,1.1602564102564104,1.2322083231497323,1
Billie Eilish,lovely (with Khalid),273,1061,75,22,90,276,84666,1,0,-15,84666,47779.0,309250.0,51541.666666666664,139.0,6.0,20.0,7644.0,1.143884892086331,1.1599866049938257,1
Billie Eilish,when the party's over,138,1062,185,11,-1,140,51337,1,0,0,51337,189383.0,1237602.0,206267.0,7.0,6.0,9.0,38418.0,2.2857142857142856,1.2028587571218115,1
Brendan Peyper,Toer Om Die Vloer,18,18,194,132,188,19,46831,1,0,6,55479,43002.0,133020.0,44340.0,176.0,3.0,11.0,2450.0,1.0625,1.0569740942281753,1
Brendan Peyper,Toer Om Die Vloer,19,19,188,132,194,20,44048,1,0,-6,55479,54966.0,390513.0,65085.5,63.0,6.0,89.0,31427.0,2.4126984126984126,1.5717534475857804,1
Brendan Peyper,Toer Om Die Vloer,20,20,168,132,188,21,45083,1,0,-20,55479,41822.0,85990.0,42995.0,186.0,2.0,11.0,2346.0,1.0591397849462365,1.056094878293721,1
Brendan Peyper,Toer Om Die Vloer,21,21,176,132,168,22,45838,1,0,8,55479,128056.0,869678.0,144946.33333333334,12.0,6.0,26.0,54154.0,3.1666666666666665,1.4228931092646966,1
Brendan Peyper,Toer Om Die Vloer,22,22,167,132,176,23,50412,1,0,-9,55479,47334.0,314883.0,52480.5,122.0,6.0,43.0,12032.0,1.3524590163934427,1.2541936029070013,1
Brendan Peyper,Toer Om Die Vloer,23,23,155,132,167,24,55479,1,0,-12,55479,115542.0,759234.0,126539.0,22.0,6.0,19.0,23162.0,1.8636363636363635,1.2004639005729518,1
Brent Faiyaz,Clouded,23,130,101,86,103,25,66297,1,0,-2,66297,41555.0,131977.0,43992.333333333336,188.0,3.0,12.0,4446.0,1.0638297872340425,1.1069907351702564,1
Brent Faiyaz,Clouded,24,132,92,86,101,26,63295,1,0,-9,66297,56816.0,364711.0,60785.166666666664,97.0,6.0,31.0,8708.0,1.3195876288659794,1.153266685440721,1
Brent Faiyaz,Clouded,25,134,100,86,92,27,59625,1,0,8,66297,71058.0,452168.0,75361.33333333333,65.0,6.0,34.0,12752.0,1.523076923076923,1.1794590334656196,1
Brent Faiyaz,Clouded,26,136,102,86,100,28,59522,1,0,2,66297,109644.0,755910.0,125985.0,18.0,6.0,31.0,59944.0,2.7222222222222223,1.546714822516508,1
Brent Faiyaz,Clouded,27,138,121,86,102,29,60844,1,0,19,66297,46372.0,299340.0,49890.0,138.0,6.0,44.0,8601.0,1.318840579710145,1.1854783058742344,1
Brent Faiyaz,Clouded,28,140,117,86,121,30,66162,1,0,-4,66297,46968.0,46968.0,46968.0,193.0,1.0,0.0,0.0,1.0,1.0,1
Brent Faiyaz,JACKIE BROWN,17,129,98,52,102,19,66632,1,0,-4,67888,49610.0,324303.0,54050.5,112.0,6.0,77.0,13524.0,1.6875,1.2726063293690788,1
Brent Faiyaz,JACKIE BROWN,18,131,87,52,98,20,65734,1,0,-11,67888,217210.0,1485910.0,247651.66666666666,5.0,6.0,9.0,85207.0,2.8,1.3922793609870632,1
Brent Faiyaz,JACKIE BROWN,19,133,94,52,87,21,61084,1,0,7,67888,46327.0,290116.0,48352.666666666664,162.0,6.0,29.0,4044.0,1.1790123456790123,1.0872925076089537,1
Brent Faiyaz,JACKIE BROWN,20,135,94,52,94,22,62324,1,0,0,67888,70804.0,437893.0,72982.16666666667,71.0,6.0,29.0,6760.0,1.408450704225352,1.0954748319303995,1
Brent Faiyaz,JACKIE BROWN,21,137,117,52,94,23,62968,1,0,23,67888,123061.0,790073.0,131678.83333333334,19.0,6.0,17.0,27476.0,1.894736842105263,1.2232713857355295,1
Brent Faiyaz,JACKIE BROWN,22,139,108,52,117,24,67888,1,0,-9,67888,47785.0,313708.0,52284.666666666664,129.0,6.0,37.0,10338.0,1.2868217054263567,1.2163440410170556,1
Bryson Tiller,Don't,77,169,64,55,68,79,84575,1,0,-4,86099,42831.0,186965.0,46741.25,164.0,4.0,21.0,8090.0,1.1280487804878048,1.1888818846162825,1
Bryson Tiller,Don't,78,171,63,55,64,80,78021,1,0,-1,86099,165615.0,1056753.0,176125.5,10.0,6.0,14.0,40651.0,2.4,1.2454548199136553,1
Bryson Tiller,Don't,79,174,64,55,63,81,73216,1,0,1,86099,49044.0,49044.0,49044.0,180.0,1.0,0.0,0.0,1.0,1.0,1
Bryson Tiller,Don't,80,177,65,55,64,82,77933,1,0,1,86099,42918.0,161309.0,53769.666666666664,94.0,3.0,90.0,24840.0,1.9574468085106382,1.5787781350482315,1
Bryson Tiller,Don't,81,180,85,55,65,83,80340,1,0,20,86099,47084.0,340618.0,56769.666666666664,100.0,6.0,95.0,19225.0,1.95,1.408312802650582,1
Bryson Tiller,Don't,82,183,73,55,85,84,86099,1,0,-12,86099,69847.0,439301.0,73216.83333333333,73.0,6.0,25.0,11814.0,1.3424657534246576,1.1691411227397024,1
Bryson Tiller,Exchange,72,170,88,81,92,74,71641,1,0,-4,72767,52435.0,327921.0,54653.5,125.0,6.0,21.0,7688.0,1.168,1.1466196242967484,1
Bryson Tiller,Exchange,73,172,79,79,88,75,68569,1,0,-9,72767,86744.0,588577.0,98096.16666666667,32.0,6.0,44.0,32673.0,2.375,1.3766600571797474,1
Bryson Tiller,Exchange,74,175,99,79,79,76,59971,1,0,20,72767,47635.0,294731.0,49121.833333333336,141.0,6.0,54.0,2193.0,1.3829787234042554,1.046037577411567,1
Bryson Tiller,Exchange,75,178,83,79,99,77,67522,1,0,-16,72767,43640.0,143801.0,47933.666666666664,143.0,3.0,34.0,6685.0,1.2377622377622377,1.153185151237397,1
Bryson Tiller,Exchange,76,181,109,79,83,78,67650,1,0,26,72767,53538.0,368064.0,61344.0,92.0,6.0,42.0,15753.0,1.4565217391304348,1.2942396055138405,1
Bryson Tiller,Exchange,77,184,98,79,109,79,72767,1,0,-11,72767,88849.0,584904.0,97484.0,38.0,6.0,34.0,21531.0,1.894736842105263,1.2423324967078977,1
Bryson Tiller,Right My Wrongs,3,173,184,171,-1,5,44291,1,0,-15,46563,80887.0,523091.0,87181.83333333333,57.0,6.0,17.0,15491.0,1.2982456140350878,1.1915140875542423,1
Bryson Tiller,Right My Wrongs,4,176,190,171,184,6,42568,1,0,6,46563,53616.0,53616.0,53616.0,171.0,1.0,0.0,0.0,1.0,1.0,1
Bryson Tiller,Right My Wrongs,5,179,185,171,190,7,44936,1,0,-5,46563,47970.0,355931.0,59321.833333333336,66.0,6.0,119.0,36435.0,2.803030303030303,1.7595372107567229,1
Bryson Tiller,Right My Wrongs,6,182,199,171,185,8,46563,1,0,14,46563,79090.0,511173.0,85195.5,57.0,6.0,18.0,13776.0,1.3157894736842106,1.1741813124288785,1
Burna Boy,For My Hand (feat. Ed Sheeran),50,205,80,11,91,52,74976,2,0,-11,74976,66625.0,440053.0,73342.16666666667,74.0,6.0,13.0,13538.0,1.1756756756756757,1.2031969981238273,1
Burna Boy,For My Hand (feat. Ed Sheeran),51,207,88,11,80,53,65366,2,0,8,74976,267021.0,1842977.0,307162.8333333333,2.0,6.0,4.0,98633.0,3.0,1.3693829324285356,1
Burna Boy,For My Hand (feat. Ed Sheeran),52,209,96,11,88,54,60665,2,0,8,74976,91847.0,625421.0,104236.83333333333,36.0,6.0,23.0,26368.0,1.6388888888888888,1.2870861323723148,1
Burna Boy,For My Hand (feat. Ed Sheeran),53,211,81,11,96,55,69428,2,0,-15,74976,47193.0,213626.0,53406.5,112.0,4.0,50.0,16536.0,1.4464285714285714,1.3503909478100566,1
Burna Boy,For My Hand (feat. Ed Sheeran),54,213,116,11,81,56,63450,2,0,35,74976,110995.0,800496.0,133416.0,20.0,6.0,19.0,46382.0,1.95,1.4178746790395964,1
Burna Boy,For My Hand (feat. Ed Sheeran),55,215,123,11,116,57,64581,2,0,7,74976,47097.0,47097.0,47097.0,190.0,1.0,0.0,0.0,1.0,1.0,1
Burna Boy,Last Last,58,204,49,1,49,60,100092,1,1,0,100092,44504.0,94929.0,47464.5,168.0,2.0,14.0,5921.0,1.0833333333333333,1.1330442207442029,3
Burna Boy,Last Last,59,206,44,1,49,61,94871,1,1,-5,100092,44138.0,95367.0,47683.5,161.0,2.0,26.0,7091.0,1.1614906832298137,1.1606552177262224,3
Burna Boy,Last Last,60,208,53,1,44,62,87123,1,1,9,100092,83454.0,527333.0,87888.83333333333,49.0,6.0,33.0,14826.0,1.6734693877551021,1.1776547559134374,3
