index,End Date,rank difference
3232,2017-03-30,0
3233,2017-01-05,0
3234,2017-01-12,0
3236,2017-01-26,0
3246,2017-01-05,0
3248,2017-01-05,0
3255,2017-01-05,0
3257,2017-03-16,0
3260,2016-12-29,0
3265,2023-01-05,0
3269,2017-08-17,0
3270,2017-08-24,0
3275,2017-09-28,0
3281,2017-11-09,0
3292,2023-01-19,0
3293,2023-01-05,0
3306,2023-01-26,0
3316,2023-01-05,0
3327,2017-02-23,0
3328,2017-10-26,0
3329,2017-02-23,0
3358,2017-02-23,0
3360,2017-02-23,0
3361,2016-12-29,0
3364,2017-01-19,0
3368,2023-01-05,0
3373,2017-03-02,0
3378,2017-03-02,0
3382,2016-12-29,0
3386,2017-01-26,0
3388,2017-02-09,0
3394,2017-10-26,0
3395,2017-10-26,0
3397,2017-09-14,0
3408,2017-12-28,0
3413,2016-12-29,0
3421,2017-12-28,0
3425,2017-12-07,0
3431,2018-01-25,0
3432,2017-03-30,0
3433,2016-12-29,0
3443,2017-08-17,0
3444,2016-12-29,0
3448,2016-12-29,0
3457,2016-12-29,0
3458,2016-12-29,0
3459,2023-01-05,0
3472,2023-03-02,0
3477,2017-03-30,0
3478,2017-03-30,0
3479,2017-03-30,0
3480,2017-02-09,0
3481,2023-01-05,0
3493,2023-02-23,0
3495,2017-01-26,0
3505,2017-08-24,0
3512,2017-10-12,0
3527,2017-09-21,0
3533,2023-01-05,0
3534,2023-01-05,0
3540,2017-08-17,0
3545,2017-09-21,0
3555,2017-09-14,0
3574,2018-01-25,0
3575,2016-12-29,0
3600,2017-09-21,0
3618,2017-01-19,0
3619,2017-08-17,0
3629,2023-01-05,0
3633,2023-02-02,0
3634,2023-02-09,0
3636,2023-02-23,0
3639,2023-03-16,0
3642,2023-01-05,0
3646,2023-02-02,0
3655,2017-08-17,0
3675,2023-01-05,0
3685,2023-03-16,0
3688,2016-12-29,0
3698,2023-01-05,0
3711,2023-01-12,0
3713,2023-03-23,0
3715,2017-01-26,0
3716,2017-02-02,0
3722,2018-01-11,0
3725,2018-01-04,0
3729,2018-01-11,0
3732,2018-01-11,0
3734,2018-01-25,0
3735,2017-12-28,0
3736,2017-12-28,0
3737,2017-12-28,0
3738,2017-12-28,0
3739,2017-12-28,0
3743,2017-12-28,0
3746,2017-12-28,0
3747,2016-12-29,0
3761,2023-01-05,0
3769,2023-03-02,0
3774,2023-03-16,0
3776,2017-02-09,0
3820,2023-01-05,0
3827,2023-02-23,0
3833,2023-01-12,0
3844,2017-08-17,0
3849,2017-09-21,0
3858,2017-11-23,0
3867,2017-10-26,0
3878,2018-01-18,0
3880,2023-01-05,0
3893,2017-01-12,0
3897,2017-02-09,0
3905,2023-01-05,0
3918,2017-08-17,0
3925,2017-01-05,0
3926,2017-03-09,0
3941,2023-01-05,0
3954,2018-01-25,0
3955,2017-08-17,0
3969,2017-11-23,0
3978,2016-12-29,0
3992,2017-08-17,0
3993,2017-08-24,0
3995,2017-09-07,0
3997,2017-09-21,0
4015,2017-10-05,0
4028,2016-12-29,0
4039,2016-12-29,0
4042,2016-12-29,0
4047,2016-12-29,0
4049,2017-01-12,0
4054,2017-03-02,0
4067,2023-03-30,0
4068,2017-01-05,0
4081,2023-01-05,0
4094,2017-11-30,0
4101,2018-01-25,0
4102,2016-12-29,0
4106,2017-01-26,0
4107,2017-02-02,0
4108,2017-02-09,0
4125,2017-10-19,0
4127,2017-11-02,0
4146,2023-03-02,0
4151,2017-01-05,0
4154,2017-01-26,0
4156,2017-02-09,0
4162,2016-12-29,0
4165,2023-01-05,0
4167,2017-09-07,0
4169,2017-09-21,0
4179,2017-11-16,0
4189,2017-03-02,0
4217,2017-08-17,0
4226,2018-01-18,0
4228,2017-01-12,0
4245,2018-01-18,0
4247,2017-08-17,0
4248,2017-08-24,0
4249,2017-09-21,0
4259,2017-11-30,0
4267,2023-03-30,0
4268,2023-03-30,0
4269,2023-03-30,0
4270,2023-03-30,0
4271,2023-03-23,0
4273,2017-02-23,0
4274,2017-01-05,0
4276,2017-09-21,0
4294,2017-01-05,0
4298,2017-02-02,0
4303,2016-12-29,0
4304,2017-01-05,0
4317,2016-12-29,0
4321,2017-01-26,0
4322,2017-01-26,0
4323,2023-01-05,0
4328,2023-01-05,0
4341,2016-12-29,0
4348,2017-02-16,0
4355,2016-12-29,0
4365,2016-12-29,0
4376,2017-03-16,0
4379,2016-12-29,0
4393,2017-08-17,0
4416,2016-12-29,0
4420,2018-01-04,0
4424,2017-01-19,0
4433,2017-03-23,0
4434,2017-03-30,0
4458,2023-01-05,0
4464,2023-03-02,0
4469,2023-01-05,0
4482,2016-12-29,0
4502,2017-09-28,0
4503,2017-10-05,0
4505,2017-10-19,0
4507,2017-11-02,0
4508,2017-11-09,0
4511,2017-11-30,0
4512,2016-12-29,0
4517,2016-12-29,0
4531,2016-12-29,0
4538,2017-08-24,0
4560,2016-12-29,0
4568,2017-02-23,0
4583,2017-10-19,0
4585,2018-01-11,0
4588,2018-01-25,0
4589,2023-03-30,0
4590,2017-03-02,0
4593,2023-03-02,0
4594,2023-03-02,0
4595,2023-03-02,0
4600,2023-01-05,0
4604,2023-02-02,0
4613,2023-03-02,0
4614,2017-08-17,0
4626,2023-03-02,0
4627,2023-01-05,0
4629,2023-01-05,0
4642,2023-03-02,0
4645,2023-02-09,0
4653,2023-03-02,0
4656,2023-03-23,0
4657,2023-03-30,0
4658,2016-12-29,0
4665,2016-12-29,0
4686,2017-10-05,0
4694,2023-02-09,0
4701,2023-03-16,0
4704,2017-10-12,0
4708,2017-01-05,0
4709,2023-01-05,0
4713,2017-08-17,0
4725,2017-02-16,0
4726,2017-02-23,0
4731,2017-03-30,0
4732,2018-01-04,0
4736,2023-01-05,0
4744,2023-03-16,0
4747,2017-12-28,0
4748,2017-08-17,0
4751,2017-09-07,0
4752,2017-09-14,0
4770,2017-08-17,0
4779,2017-10-19,0
4790,2018-01-11,0
4793,2017-03-30,0
4794,2023-02-09,0
4795,2023-03-23,0
4797,2017-08-17,0
4809,2018-01-11,0
4812,2017-08-17,0
4835,2023-03-09,0
4839,2023-01-05,0
4842,2017-08-17,0
4857,2017-02-09,0
4879,2017-11-23,0
4888,2017-08-17,0
4895,2017-10-05,0
4900,2017-11-09,0
4902,2017-11-23,0
4911,2017-01-05,0
4913,2023-01-05,0
4924,2017-09-14,0
4933,2017-02-23,0
4945,2017-11-30,0
4953,2017-08-24,0
4975,2023-01-05,0
4988,2016-12-29,0
4999,2017-03-16,0
5002,2017-08-17,0
5012,2017-09-28,0
5029,2017-01-05,0
5030,2017-11-09,0
5035,2017-02-23,0
5036,2017-03-02,0
5037,2017-03-09,0
5039,2017-03-23,0
5064,2017-10-26,0
5067,2017-12-28,0
5068,2017-08-17,0
5076,2023-01-05,0
5085,2017-01-26,0
5088,2023-01-05,0
5099,2017-01-05,0
5112,2017-08-17,0
5114,2023-01-19,0
5115,2023-02-23,0
5117,2017-02-23,0
5123,2023-01-05,0
5136,2017-10-12,0
5140,2017-08-17,0
5154,2017-11-23,0
5163,2017-01-19,0
5174,2023-02-16,0
5176,2023-02-09,0
5181,2023-01-05,0
5186,2023-02-09,0
5194,2023-02-02,0
5198,2023-03-02,0
5203,2017-10-26,0
5210,2017-08-17,0
5216,2017-09-28,0
5233,2018-01-11,0
5236,2023-01-19,0
5247,2023-01-05,0
5256,2023-01-05,0
5262,2017-11-23,0
5263,2017-11-23,0
5266,2017-11-23,0
5267,2017-10-12,0
5268,2018-01-11,0
5270,2017-09-14,0
5281,2017-11-30,0
5289,2018-01-11,0
5292,2017-08-31,0
5294,2017-08-31,0
5295,2017-08-31,0
5296,2017-08-31,0
5297,2023-01-05,0
5304,2023-02-23,0
5310,2017-08-31,0
5311,2017-08-31,0
5323,2017-08-31,0
5324,2017-08-31,0
5326,2017-03-30,0
5333,2017-09-28,0
5335,2017-10-12,0
5340,2017-11-16,0
5341,2017-11-23,0
5342,2017-11-30,0
5350,2016-12-29,0
5357,2017-11-16,0
5360,2017-08-31,0
5380,2017-08-31,0
5381,2017-08-31,0
5382,2023-02-23,0
5388,2016-12-29,0
5402,2017-11-09,0
5413,2017-08-17,0
5422,2023-02-16,0
5424,2017-08-17,0
5427,2017-02-23,0
5430,2016-12-29,0
5441,2017-01-05,0
5454,2023-01-05,0
5464,2023-02-23,0
5470,2017-08-17,0
5478,2017-10-12,0
5479,2017-10-19,0
5484,2017-11-23,0
5493,2017-08-17,0
5498,2017-03-09,0
5502,2017-03-16,0
5504,2017-09-21,0
5517,2018-01-04,0
5521,2023-01-05,0
5525,2017-12-07,0
5526,2017-08-17,0
5549,2017-01-19,0
5553,2017-02-16,0
5558,2017-03-23,0
5559,2017-03-30,0
5583,2017-08-17,0
5597,2017-11-23,0
5606,2017-11-23,0
5609,2017-12-14,0
5613,2018-01-18,0
5614,2018-01-25,0
5615,2016-12-29,0
5629,2016-12-29,0
5633,2017-01-26,0
5642,2023-02-16,0
5643,2016-12-29,0
5653,2017-03-02,0
5657,2017-12-28,0
5662,2016-12-29,0
5666,2023-01-12,0
5667,2018-01-04,0
5668,2023-01-05,0
5671,2023-03-09,0
5674,2018-01-04,0
5675,2023-01-05,0
5676,2023-01-19,0
5686,2023-03-30,0
5687,2016-12-29,0
5690,2017-01-19,0
5691,2017-01-26,0
5701,2017-03-23,0
5703,2017-11-30,0
5711,2017-01-05,0
5724,2017-09-28,0
5739,2017-08-17,0
5744,2017-08-17,0
5745,2017-08-24,0
5751,2017-10-05,0
5753,2017-10-19,0
5767,2023-02-16,0
5768,2023-02-23,0
5774,2017-08-17,0
5796,2023-02-16,0
5803,2017-08-24,0
5806,2017-08-17,0
5814,2016-12-29,0
5815,2017-01-05,0
5833,2016-12-29,0
5847,2016-12-29,0
5859,2017-02-02,0
5868,2017-08-17,0
5880,2016-12-29,0
5890,2017-08-17,0
5896,2017-09-28,0
5913,2017-11-30,0
5914,2017-11-09,0
5925,2016-12-29,0
5931,2018-01-25,0
5932,2023-01-05,0
5933,2023-01-12,0
5934,2023-01-19,0
5936,2023-02-02,0
5939,2023-02-23,0
5945,2017-08-17,0
5950,2017-09-21,0
5968,2016-12-29,0
5971,2023-02-16,0
5972,2016-12-29,0
5979,2017-02-16,0
5983,2017-03-16,0
5986,2017-01-05,0
5987,2023-01-05,0
6000,2023-01-19,0
6001,2017-01-05,0
6002,2017-11-09,0
6013,2017-10-26,0
6014,2017-02-23,0
6021,2017-10-12,0
6025,2016-12-29,0
6029,2017-01-26,0
6039,2017-09-07,0
6045,2017-10-19,0
6048,2017-11-09,0
6051,2017-11-30,0
6053,2017-12-14,0
6059,2023-01-12,0
6061,2017-08-17,0
6065,2017-09-14,0
6069,2017-10-12,0
6071,2017-10-26,0
6072,2017-11-02,0
6073,2017-11-09,0
6075,2017-11-23,0
6076,2017-11-30,0
6078,2017-12-14,0
6084,2018-01-18,0
6086,2023-03-09,0
6090,2016-12-29,0
6091,2017-01-05,0
6109,2017-12-07,0
6111,2017-12-28,0
6116,2017-02-02,0
6124,2017-03-30,0
6134,2017-10-19,0
6135,2017-10-26,0
6147,2017-08-17,0
6167,2016-12-29,0
6184,2017-09-07,0
6193,2018-01-11,0
6196,2017-12-28,0
6197,2023-01-05,0
6210,2023-03-23,0
6211,2023-01-05,0
6213,2023-01-05,0
6219,2023-02-16,0
6226,2023-01-05,0
6230,2017-08-17,0
6236,2023-01-05,0
6239,2023-01-26,0
6240,2023-02-02,0
6246,2023-03-16,0
6247,2023-03-23,0
6249,2023-01-05,0
6253,2023-03-09,0
6257,2017-01-05,0
6261,2016-12-29,0
6262,2017-12-28,0
6263,2016-12-29,0
6267,2016-12-29,0
6272,2016-12-29,0
6274,2016-12-29,0
6276,2016-12-29,0
6278,2018-01-04,0
6279,2017-11-02,0
6280,2018-01-11,0
6283,2017-02-02,0
6284,2017-02-02,0
6286,2017-02-02,0
6288,2018-01-04,0
6292,2017-01-19,0
6300,2017-03-16,0
6309,2017-02-02,0
6310,2017-02-02,0
6325,2017-10-26,0
6338,2016-12-29,0
6342,2017-01-26,0
6370,2017-11-02,0
6374,2017-11-30,0
6379,2018-01-11,0
6382,2017-02-02,0
6385,2023-01-05,0
6398,2023-02-23,0
6400,2017-11-23,0
6409,2016-12-29,0
6418,2016-12-29,0
6435,2023-01-19,0
6436,2023-01-26,0
6437,2023-02-02,0
6438,2023-02-09,0
6439,2023-02-16,0
6440,2023-02-23,0
6441,2023-03-02,0
6444,2023-03-23,0
6445,2023-03-30,0
6446,2023-03-16,0
6448,2017-08-17,0
6463,2023-01-19,0
6465,2023-03-16,0
6468,2023-03-16,0
6469,2017-08-24,0
6471,2023-03-16,0
6472,2017-01-05,0
6477,2023-01-26,0
6479,2017-08-17,0
6482,2023-01-05,0
6495,2023-03-09,0
6496,2023-03-09,0
6497,2023-03-09,0
6498,2023-03-09,0
6499,2023-03-09,0
6500,2023-03-09,0
6501,2023-02-09,0
6509,2023-03-09,0
6511,2023-03-09,0
6513,2023-03-09,0
6514,2023-03-09,0
6517,2023-03-09,0
6518,2023-01-05,0
6524,2023-02-16,0
6525,2017-01-05,0
6533,2016-12-29,0
6536,2017-11-09,0
6540,2017-09-21,0
6550,2017-11-30,0
6552,2017-12-14,0
6553,2017-12-28,0
6558,2017-11-16,0
6568,2017-02-23,0
6570,2016-12-29,0
6582,2023-02-23,0
6583,2017-10-12,0
6587,2017-11-09,0
6590,2017-11-30,0
6591,2017-12-07,0
6592,2017-12-14,0
6594,2018-01-04,0
6598,2017-08-17,0
6602,2017-08-24,0
6624,2016-12-29,0
6628,2023-01-12,0
6640,2016-12-29,0
6644,2016-12-29,0
6645,2017-01-05,0
6654,2023-01-05,0
6667,2023-01-05,0
6672,2023-02-09,0
6680,2023-01-05,0
6692,2023-01-05,0
6694,2023-01-19,0
6705,2023-02-23,0
6710,2017-10-26,0
6711,2017-08-17,0
6734,2016-12-29,0
6745,2017-09-21,0
6752,2017-11-09,0
6762,2017-02-16,0
6765,2023-03-09,0
6767,2023-01-05,0
6771,2017-03-16,0
6774,2017-01-26,0
6792,2017-01-05,0
6793,2017-08-17,0
6800,2017-10-05,0
6808,2023-01-05,0
6815,2023-02-23,0
6816,2016-12-29,0
6828,2017-10-19,0
6829,2017-02-16,0
6842,2017-08-17,0
6844,2017-11-02,0
6850,2017-12-14,0
6856,2023-01-05,0
6859,2023-01-26,0
6869,2017-01-19,0
6880,2023-01-19,0
6881,2023-01-05,0
6882,2023-01-12,0
6883,2023-01-05,0
6896,2023-01-05,0
6909,2023-01-05,0
6913,2023-02-02,0
6922,2017-08-17,0
6924,2017-08-17,0
6938,2023-01-19,0
6949,2018-01-04,0
6950,2016-12-29,0
6964,2017-08-17,0
6985,2017-08-31,0
7005,2018-01-04,0
7009,2017-08-17,0
7030,2017-08-17,0
7033,2018-01-04,0
7037,2023-01-05,0
7039,2023-01-19,0
7045,2023-03-02,0
7046,2023-03-09,0
7047,2023-03-16,0
7050,2018-01-04,0
7054,2017-10-19,0
7055,2023-02-09,0
7056,2017-08-17,0
7079,2017-10-19,0
7080,2017-01-05,0
7082,2017-01-19,0
7089,2016-12-29,0
7093,2016-12-29,0
7096,2016-12-29,0
7099,2023-03-02,0
7104,2023-02-02,0
7106,2023-02-16,0
7109,2023-03-09,0
7113,2016-12-29,0
7127,2023-01-12,0
7132,2023-02-09,0
7136,2023-03-09,0
7137,2023-03-16,0
7139,2023-03-30,0
7140,2017-08-17,0
7146,2016-12-29,0
7153,2017-02-16,0
7168,2017-10-12,0
7170,2017-10-26,0
7172,2017-11-09,0
7182,2018-01-25,0
7183,2017-03-16,0
7186,2017-08-17,0
7191,2017-08-17,0
7207,2017-09-28,0
7211,2017-01-26,0
7213,2017-08-17,0
7225,2017-11-09,0
7236,2017-09-21,0
7250,2018-01-04,0
7254,2017-08-17,0
7269,2017-11-30,0
7277,2017-09-28,0
7283,2017-11-09,0
7285,2017-11-23,0
7292,2018-01-18,0
7294,2017-01-05,0
7300,2017-02-23,0
7308,2017-09-14,0
