main_artist,track_name,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams
Anderson .Paak,Make It Better (feat. Smokey Robinson),8079,8079,8079,8079.0,159,1,0,0,1.0,1.0
Anderson .Paak,Tints (feat. Kendrick Lamar),6779,5425,12204,6102.0,132,2,37,1354,1.2803030303030303,1.2495852534562213
Andile Mpisane,It's Too Much Sauce,21870,21870,21870,21870.0,174,1,0,0,1.0,1.0
Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",14313,7626,241581,10503.521739130434,102,23,91,6687,1.892156862745098,1.8768686073957515
Andy Williams,It's the Most Wonderful Time of the Year,69310,6615,274017,34252.125,16,8,135,62695,9.4375,10.477702191987905
Anne-Marie,2002,20583,4172,2387161,15501.045454545454,23,154,170,16411,8.391304347826088,4.933604985618408
Anne-Marie,Birthday,18572,12002,45580,15193.333333333334,75,3,104,6570,2.3866666666666667,1.547408765205799
Anne-Marie,Don't Play,21035,20172,41207,20603.5,118,2,81,863,1.6864406779661016,1.0427820741622051
Anne-Marie,Our Song,23265,18813,105852,21170.4,137,5,61,4452,1.4452554744525548,1.2366448732259607
Ant Saunders,Yellow Hearts,20636,11998,236626,16901.85714285714,52,14,126,8638,3.423076923076923,1.719953325554259
Anuel AA,China,7927,7927,7927,7927.0,197,1,0,0,1.0,1.0
Appel,Boerenooi,24284,19942,89290,22322.5,155,4,44,4342,1.2838709677419355,1.2177314211212515
Appel,Dina,32030,19383,566973,24651.0,86,23,103,12647,2.197674418604651,1.6524789764226384
Appel,Hier Sal Jy Boer,18858,18858,18858,18858.0,197,1,0,0,1.0,1.0
Appel,Nonna,24237,15474,178255,17825.5,114,10,83,8763,1.7280701754385965,1.5663047692904226
Arctic Monkeys,Four Out Of Five,3968,3968,3968,3968.0,113,1,0,0,1.0,1.0
