word,word_count
shattered,1
fireflycatchin,1
reach,1
july,1
jumps,1
may,1
cynics,1
album,1
pass,1
sidelines,1
traded,1
baseball,1
cap,1
crown,1
trophies,1
outraged,1
listened,1
absurd,1
band,1
thieves,1
rippedup,1
rule,1
lovin,1
spinning,1
confetti,1
gettin,1
stuck,1
shirt,1
reminds,1
roads,1
showing,1
handshake,1
meeting,1
pockets,1
rude,1
interruptions,1
shines,1
plan,1
decade,1
planned,1
changing,1
shaking,1
laughs,1
stands,1
eightyseven,1
waited,1
hero,1
tests,1
standin,1
impressed,1
drivin,1
frustrated,1
parking,1
wasting,1
chances,1
glow,1
rained,1
hadnt,1
share,1
somethin,1
crawling,1
wouldve,1
traveled,1
fade,1
beg,1
sensible,1
incredible,1
confess,1
confused,1
ruin,1
opens,1
absentmindedly,1
freshman,1
itll,1
everybodys,1
hi,1
condescending,1
bump,1
swerve,1
brave,1
shed,1
usually,1
shot,1
shake,1
doorway,1
capture,1
passengers,1
nowhere,1
makin,1
jealous,1
must,1
loneliness,1
five,1
smiling,1
pumpkin,1
patch,1
tractor,1
rides,1
gold,1
hug,1
legs,1
ways,1
snow,1
whites,1
thirteen,1
grab,1
shop,1
forgotten,1
wakes,1
beauty,1
coat,1
heat,1
carried,1
intoxicating,1
misread,1
staring,1
photographs,1
respects,1
helped,1
calls,1
exactly,1
notices,1
business,1
charming,1
endearing,1
comfortable,1
hundred,1
ignoring,1
hearts,1
needing,1
frustrating,1
year,1
four,1
senior,1
all—,1
name—,1
wonderful,1
tomorrows,1
dimming,1
arent,1
fifty,1
choose,1
girls—,1
balcony,1
haha,1
paced,1
shade,1
sunshine,1
heal,1
gray,1
sleeve,1
loving,1
thought—,1
ha,1
boys,1
mystery,1
scarlet,1
difficult,1
garden,1
fading,1
outskirts,1
knelt,1
pulled,1
ring,1
talked,1
deceiving,1
hello,1
tossing,1
easily,1
believing,1
gowns,1
mission,1
ball,1
naïve,1
upper,1
happy,1
endings,1
streets,1
wornout,1
ought,1
park,1
bench,1
adore,1
damn,1
sneakers,1
named,1
driving,1
feat,1
redhead,1
class,1
ten,1
count,1
wink,1
minds,1
flying,1
mammas,1
nerve,1
humor,1
actually,1
treat,1
team,1
rear,1
disappearing,1
girlfriend,1
upset,1
typical,1
great,1
dating,1
greater,1
spin,1
short,1
skirts,1
wished,1
tshirts,1
ride,1
excellent,1
blurry,1
full,1
expect,1
resist,1
marys,1
snotty,1
dressed,1
pastel,1
yelling,1
bridesmaid,1
gown,1
shaped,1
pastry,1
surely,1
state,1
diamond,1
takes,1
fond,1
gestures,1
chain,1
mindless,1
organ,1
probably,1
piano,1
busier,1
smalltalk,1
strange,1
die,1
yesterday,1
sleeping,1
birthday,1
passed,1
passenger,1
fantasy,1
crept,1
tanned,1
skin,1
obvious,1
anyway,1
wishful,1
exchanged,1
sounds,1
strength,1
distant,1
accused,1
lived,1
chess,1
wonderin,1
stopped,1
pickin,1
lookin,1
blind,1
optimism,1
blame,1
add,1
traitors,1
growing,1
fast,1
nineteens,1
twisted,1
expert,1
nine,1
revolved,1
death,1
nights,1
march,1
hiding,1
curtains,1
uninvited,1
lovely,1
bridetobe,1
floats,1
pageant,1
queen,1
preacher,1
peace,1
shaky,1
horrified,1
tux,1
vows,1
doorstep,1
escape,1
obsessive,1
