main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
9umba,uMlando,19,20,14,2,16,20,82958,1,1,-2,82958,31175.0,68178.0,34089.0,113.0,2.0,28.0,5828.0,1.247787610619469,1.186944667201283,3,9umbauMlando,14
9umba,uMlando,20,21,17,2,14,21,79214,1,1,3,82958,32648.0,32648.0,32648.0,150.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,21,22,14,2,17,22,79322,1,1,-3,82958,72686.0,3095769.0,134598.65217391305,1.0,23.0,67.0,386374.0,68.0,6.315659136559998,3,9umbauMlando,14
9umba,uMlando,22,23,31,2,14,23,71416,1,1,17,82958,28437.0,516128.0,32258.0,79.0,16.0,113.0,10000.0,2.430379746835443,1.3516545345852236,3,9umbauMlando,14
9umba,uMlando,23,24,17,2,31,24,75134,1,1,-14,82958,31624.0,31624.0,31624.0,171.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,24,25,19,2,17,25,75670,1,1,2,82958,42918.0,2588751.0,61636.92857142857,11.0,42.0,122.0,51401.0,12.090909090909092,2.1976559951535486,3,9umbauMlando,14
9umba,uMlando,25,26,28,2,19,26,65922,1,1,9,82958,26584.0,199933.0,28561.85714285714,157.0,7.0,32.0,3256.0,1.2038216560509554,1.1224796870297924,3,9umbauMlando,14
9umba,uMlando,26,27,28,2,28,27,62710,1,1,0,82958,31119.0,31119.0,31119.0,156.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,27,28,40,2,28,28,56207,1,1,12,82958,28020.0,115395.0,28848.75,171.0,4.0,28.0,1246.0,1.1637426900584795,1.0444682369735903,3,9umbauMlando,14
9umba,uMlando,28,29,43,2,40,29,60213,1,1,3,82958,34499.0,2737207.0,54744.14,46.0,50.0,85.0,44490.0,2.847826086956522,2.2896025971767298,3,9umbauMlando,14
9umba,uMlando,29,30,37,2,43,30,60316,1,1,-6,82958,38099.0,38099.0,38099.0,195.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,30,31,49,2,37,31,49399,1,1,12,82958,29925.0,435467.0,39587.90909090909,136.0,11.0,63.0,18166.0,1.463235294117647,1.6070509607351713,3,9umbauMlando,14
