,main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
259,Wiz Khalifa,ZA,2,86,2018-07-19,2018-09-27,49563,1,False,False,10,2
260,Wizkid,ZA,2,138,2022-11-17,2022-11-17,73994,1,False,False,1,1
261,Young Stoner Life,ZA,7,13,2021-04-22,2021-08-26,1075905,1,False,False,35,11
262,Young Thug,ZA,30,4,2018-08-23,2023-08-24,3230044,5,False,False,135,17
263,Zac Efron,ZA,1,197,2019-01-24,2019-01-24,6359,1,False,False,0,1
264,Zedd,ZA,5,8,2018-03-15,2021-01-07,2640328,4,False,False,233,6
265,benny blanco,ZA,10,2,2018-07-19,2024-04-11,4896734,7,False,False,205,15
266,blackbear,ZA,2,11,2019-08-29,2021-03-18,2108964,3,False,False,89,0
267,d4vd,ZA,2,56,2022-09-15,2023-03-30,1789068,2,False,False,38,0
268,j-hope,ZA,3,59,2022-07-07,2023-03-23,265378,2,False,False,5,1
269,mgk,ZA,1,68,2018-10-11,2018-10-11,6403,1,False,False,0,0
270,salem ilese,ZA,1,53,2020-09-10,2020-11-26,256035,1,False,False,11,0
