main_artist,track_name,streams
Labrinth,Forever,210425
Justin Bieber,Anyone,209433
MaWhoo,Kulula,206274
Kendrick Lamar,Mother I Sober (feat. Beth Gibbons of Portishead),204722
Kamo Mphela,Ghost,204515
Pushkin,Welele,204161
Billie Eilish,when the party's over,202867
Beyonc,CHURCH GIRL,201797
Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],198350
Kanye West,Hurricane,197822
Frenzyoffixial,Gusheshe,197363
Pharrell Williams,Cash In Cash Out,197037
HENNYBELIT,Madiba,196152
DJ Maphorisa,Banyana,196006
Lloyiso,What I Would Say,195857
Bernice West,Lyfie,195462
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),194914
Beyonc,I'M THAT GIRL,194134
Nasty C,Cant Imagine,194023
Drake,Currents,193662
Drake,A Keeper,192532
Pop Smoke,Dior,192443
Lil Tjay,In My Head,191688
Drake,More Ms,191154
Ed Sheeran,Perfect,190832
Taylor Swift,Question...?,190610
Dr. Dre,Still D.R.E.,190512
BoyWithUke,IDGAF (with blackbear),188021
Kendrick Lamar,Mirror,186773
Kanye West,Heartless,186458
Drake,I Guess Its Fuck Me,186036
Costa Titch,Big Flexa,182465
Tones And I,Dance Monkey,180714
Mneskin,Beggin',180522
Blxckie,Hold,180063
SAINt JHN,Roses - Imanbek Remix,178318
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),177408
Riky Rick,HOME (feat. Mas Musiq),176944
Murumba Pitch,Hlasela,176781
Brent Faiyaz,LOOSE CHANGE,176200
Kelvin Momo,Sukakude,175635
Busta 929,Umsebenzi Wethu,173688
Kelvin Momo,Imfula,173537
Mellow & Sleazy,Zwonaka,171016
Taylor Swift,Mastermind,170677
Dj Karri,Azul (feat. Mfana Kah Gogo),169127
Metro Boomin,Umbrella (with 21 Savage & Young Nudy),169043
Metro Boomin,Raindrops (Insane) [with Travis Scott],168179
Giveon,Like I Want You,168157
SZA,Kill Bill,166696
DBN Gogo,Possible,165568
Yung Lean,Ginseng Strip 2002,164838
Panic! At The Disco,House of Memories,164807
ATB,Your Love (9PM),158789
Drake,Calling My Name,157167
Labrinth,Formula,155439
Tyga,Freaky Deaky,155379
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),154534
Seafret,Atlantis,153615
Beyonc,COZY,153317
Droomsindroom,Hey Sonneblom,152629
Summer Walker,No Love (with SZA),151297
benny blanco,Bad Decisions (with BTS & Snoop Dogg),151152
Mzux Maen,HAYII,150862
Kelvin Momo,Izono,150196
Rihanna,Love On The Brain,150182
Giveon,Scarred,149838
Kelvin Momo,Funa,149615
Cardi B,Hot Shit (feat. Ye & Lil Durk),149579
Chris Brown,Psychic,148593
DJ Khaled,BEAUTIFUL (feat. Future & SZA),148505
Dlala Regal,Umshini,147406
Juice WRLD,Come & Go (with Marshmello),146485
A-Reece,INTENTIONS,146248
Mariah Carey,All I Want for Christmas Is You,146096
ThxSoMch,SPIT IN MY FACE!,146055
A-Reece,BIGGER THAN ME,145777
Giveon,Let Me Go,145317
Wendy Shay,Survivor,143924
Makhadzi,Zwivhuya,143908
JP Saxe,If the World Was Ending (feat. Julia Michaels),142917
Kweyama Brothers,Impilo yaseSandton,142625
Gunna,P power (feat. Drake),142495
Jung Kook,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],142311
Metro Boomin,Trance (with Travis Scott & Young Thug),141595
Marshmello,Bye Bye,141487
Beyonc,PLASTIC OFF THE SOFA,139360
Harry Styles,Little Freak,138907
Juice WRLD,Cigarettes,138728
Brent Faiyaz,PRICE OF FAME,137309
Metro Boomin,On Time (with John Legend),136702
Mr JazziQ,Woza,136490
Classic Man SmF,Amour d'une mre,134931
Juice WRLD,In My Head,134654
Drake,Flight's Booked,133139
Harry Styles,Music For a Sushi Restaurant,133111
A-Reece,GODLIKE,132951
SZA,Blind,132492
Kelvin Momo,Umoya,132217
Shawn Mendes,When You're Gone,131358
Beyonc,HEATED,130785
Kabza De Small,Liyangishonela (feat. Nobuhle),130777
Benny The Butcher,Johnny P's Caddy,130698
Future,LOVE YOU BETTER,129719
The Weeknd,Gasoline,129676
Metro Boomin,Metro Spider (with Young Thug),129539
SZA,Nobody Gets Me,128531
Masked Wolf,Astronaut In The Ocean,128105
Farruko,Pepas,127615
Harry Styles,Daylight,127590
ThackzinDJ,Yini Sdakwa,127529
Kanye West,Bound 2,127233
Lil Baby,Freestyle,127136
DBN Gogo,UYATHANDEKA,125132
Kelvin Momo,Summer Rain,125113
Metro Boomin,Around Me (feat. Don Toliver),124938
Taylor Swift,Labyrinth,124918
Labrinth,All For Us,124628
Playboi Carti,Sky,124590
Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit,124193
OneRepublic,Counting Stars,123548
IShowSpeed,World Cup,123256
NAV,Never Sleep (with Lil Baby feat. Travis Scott),119632
Taylor Swift,Sweet Nothing,119072
Frank Ocean,Novacane,119039
Kelvin Momo,N'wana Wa Mutsonga,118669
A-Reece,For My Sanity,118467
Focalistic,3310,118230
Taylor Swift,Dont Blame Me,117978
benny blanco,Eastside (with Halsey & Khalid),117210
James Hype,Ferrari,116431
Billie Eilish,everything i wanted,115395
Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),114369
Senior Oat,S'khanyisele,112758
SZA,Love Language,111309
Tyler ICU,"Ama Million (feat. Chley Nkosi, Freddy K & Toss)",111239
Ed Sheeran,Celestial,110746
Mellow & Sleazy,Back2School (feat. Thabza Tee & LastBorn Diroba),110317
21 Savage,Glock In My Lap,109907
Dlala Thukzin,Phuze (Remix) (Radio Edit),109868
Burna Boy,Different Size (feat. Victony),108259
Tevin Campbell,Can We Talk,108100
Drake,Intro,108080
Kelvin Momo,Imikhuleko,107678
Mellow & Sleazy,Umshini Ka Zuma (feat. M.J & Azi),107455
Kelvin Momo,Art Of Love,107271
SZA,SOS,106346
Brent Faiyaz,ROLLING STONE,106325
Mellow & Sleazy,"Sporofita (feat. 2woshort, LastbornDiroba, Al xapo & Sunde)",105718
Chris Brown,WE (Warm Embrace),105161
SZA,Low,104932
DJ Khaled,BIG TIME (feat. Future & Lil Baby),104549
Oliver Tree,Life Goes On,103704
The Weeknd,How Do I Make You Love Me?,103554
A-Reece,DEATH,103194
