source,streams,count_main_artist,count_track_name
Sony Music Labels Inc.,91047386,1,1
Otto Dynamite/RCA Records,90467455,1,1
RB Music,89997136,1,1
Atlantic Records/Asylum,89991717,2,3
SM Entertainment,89929743,4,5
XO Records,88404734,1,3
Big Loud / Republic,87824465,1,7
El Cártel de Los Ángeles,86251568,1,1
SSJ Records / DALE PLAY Records,85743969,1,2
Last Gang,85601498,1,1
Raim Laode,84518585,1,1
"TenThousand Projects, LLC",84051384,2,8
Dave / Neighbourhood Recordings,83089567,1,1
Epic/CMG,82715566,1,1
Chess Club/RCA Victor,81590055,1,2
Warner Bros.,81128639,1,2
Robots & Humans,81123322,1,1
Republic Records – NAYEON (TWICE),81089021,1,1
Wesley Safadao,80631023,1,1
Shady Records,80329014,1,1
"Duars Entertainment, Corp.",80049862,1,1
Joseph Jonas/Republic Records,79024379,1,1
La Mafia del Perreo,78233215,1,1
Aerosmith P&D - Sony,77475802,1,1
:):,75368928,1,1
Sua Música,75075833,1,2
Open Mic Productions,74653376,1,1
Lizos Music,74198084,2,2
RUN-UP RECORDS,74112032,1,1
Rex Orange County,73676871,1,1
Doomshop Records/RCA Records,73588094,1,1
BZR Music,73433900,1,1
NITRON concepts,73306635,1,1
Hits records,72935462,1,1
Rock The World/IDJ/Kanye/LP6,72508998,1,1
©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),72033746,1,1
Universal Music Italia srL. (Sugar),71198909,2,4
Atlantic/Sniper Gang,70319736,1,1
"Records Label, LLC",70115448,1,2
River House Artists/Columbia Nashville,70060071,1,4
Rich Music/Interscope Records,69496831,1,1
P2020,69338127,1,1
187 Strassenbande,68685202,3,9
New Wav Music Group / Island Prolific / EMPIRE,68072355,1,1
Bra Musik,67866241,2,7
Niack,67382400,1,1
bbno$,67127132,1,1
"Homemade Projects, LLC / TenThousand Projects, LLC",66642974,1,1
ScumGang Records / TenThousand Projects,66078214,1,5
RCA Bluebird,66011175,1,1
Decaydance/Fueled By Ramen/ATL,64975059,1,1
ICY/Artistry Records/Warner Records,64957658,1,3
"MARVEL/Hollywood Records, Inc./Interscope Records",64885788,1,1
APG Inc – FF10,63900813,1,1
1944121 Records DK,63114186,1,1
"Flow La Movie, Inc",62302341,1,1
world in red,61749667,1,1
Broken Bow Records,61416473,1,1
Zoo Digital,60862762,1,1
5 Seconds Of Summer/Interscope,60357455,1,4
El Cartel Records,60061228,1,1
"Genie Music Corporation, Stone Music Entertainment",59472805,2,2
FAMM,59458014,1,1
DJ Ivis,58983917,1,1
YEAR0001,58646617,1,1
Quality Control Music - Epic,58287328,1,7
Mainstreet Records,57894306,2,2
"Producciones Ladon, S.A de C.V.",57233501,1,1
Parkwood Entertainment/Roc Nation,56264355,1,1
CYB3RPVNK,55630210,1,2
Davi Kneip,55135520,1,1
Rien 100 Rien,55031185,2,1
Geffen Records,54039824,1,1
Real Hasta La Muerte LLC & Aura Music Corp.,53693836,1,2
Allezgo Productions,53434935,1,1
THEBLACKLABEL/Interscope Records,53057038,1,1
LEB Records,52625205,1,1
88 Classic,52485087,1,1
Kapital Music & Entertainment,52439375,1,1
Pale Records,51695388,1,1
Juice WRLD / Interscope PS,51530355,1,1
Ana Castela,51392145,1,1
Epic/Bad Boy Entertainment,51242212,1,2
Winners Circle Entertainment Inc / EMPIRE,50711031,1,1
No Love Entertainment,50470856,1,1
Paulo Pires,49986698,1,1
Fifty One,49492639,2,2
"bbno$, Rich Brian appears courtesy of 88Rising",49269963,1,1
Republic Records - Stray Kids,49010107,1,3
Superstar Pride under exclusive license to UnitedMasters LLC,48584874,1,1
Benny Blanco Solo Album PS,48473636,1,1
"2018 YG Entertainment, distributed through Interscope Records",47980068,1,2
"UMG Recordings, Inc./Universal Music Latino",47746154,1,1
Music World Music/Columbia,47583258,1,1
Mc Anjim,47248326,1,1
YG Entertainment,46649758,3,3
TV Girl,46381839,1,1
Firefly Entertainment,46223688,1,1
Black Panther 2 Rihanna Recordings,45853710,1,1
Machine Entertainment Group - G Herbo,45657385,1,1
"Andaluz Music, LLC",45357858,1,1
OVO/Republic Records,45104299,1,1
"Night Street Records, Inc./Warner Records Inc.",45027440,1,1
Riot Games,44497436,2,3
YBNL Nation / EMPIRE,44442177,1,1
Blac Noize! Recordings,44421300,1,1
"1400 Entertainment, Inc. / 10K Projects",44276878,1,5
"Leah Kate, under exclusive license to 10K Projects / MDDN",43939041,1,1
G59 Records,43775778,1,1
Bo Burnham,43443798,1,2
10 Summers / Interscope PS,43335626,1,1
MAU Records,43228674,1,1
Roc-A-Fella,42995464,1,1
Joytime Collective,42936826,1,1
"Real Hasta La Muerte, LLC & Hear This Music, LLC",42594903,1,1
b1,42438485,1,1
Black Circle / EMPIRE,42388027,1,1
"Real Hasta La Muerte, LLC",42263671,1,4
Stay High,42246369,1,7
Universal Music AS,42081463,2,3
Indipendenza,41776605,1,5
Cube Entertainment,41295999,1,2
Marshmello/Republic,40787506,1,1
Riggins Recording Limited,40775091,1,1
Loma Vista Recordings,40734926,1,1
The Valory Music Co.,40530955,1,3
WM Spain,39920266,1,1
Photo Finish / Republic Records,39920065,1,1
Rhino/Elektra,39406751,1,1
Z Entertainment/Sony Music,39089078,1,1
Nas Nuvens Catalog,38981595,1,1
Roc Nation LLC,38891803,1,1
Jonas Brothers,38737747,1,1
Lava Music/Republic Records,38669233,1,1
IGA,38442524,1,1
TulusCompany,38394497,1,1
DF Records,37831593,1,1
Republic Records - TXT,37544699,1,4
Galactic / Republic Records,37226727,1,2
Monument Records,37031292,1,1
"Supergiant Records, LLC / Def Jam Recordings",36486533,1,1
"Gawk Records, under exclusive license to Amuseio AB",36481473,1,1
Love Funk,36431050,1,1
MC Kevin o Chris,35814063,1,1
P2018,35681754,1,1
Atlantic Nashville,35655470,1,1
One Play,35330043,1,1
Justin Bieber 2021 PS/ Def Jam,35262377,1,1
Columbia/M2V,35210226,1,1
Louis The Child / Interscope,34962122,1,1
Ultra Records,34951697,1,1
BELIFT LAB,34682956,1,1
Loredana,34576028,1,4
Twenty Nine Music Group,33791553,1,2
Lord A-Wall Records,33735138,1,1
SALES,33592059,1,1
Lumbre Music/Columbia,33358331,1,2
Rebota Remix,31788116,1,1
DN7 Music,31705691,1,1
YRF Music,31648253,1,2
CORPSE,31447232,1,2
"Manzana Records, Inc.",31294788,1,1
Nicki Minaj/Cash Money,31194362,1,2
Jovem Dionisio,31160840,1,1
Papatunes,31135935,1,1
Shady Records/Interscope Records,30876809,1,1
DCD2 / Crush Music,30668813,1,1
Crimson,30565436,1,1
Mad Love/Interscope Records,30353786,1,2
Strainge Entertainment,30267374,1,1
i am OTHER/Columbia,30069267,1,1
Taylor Gang/Atlantic,29998514,1,2
Arista Records/Columbia Records,29765969,1,1
"Never Broke Again, LLC",29565841,1,1
Lakeshore Records,29492607,1,1
Epic/London Ent.,29235093,1,1
DOGUITO Records / DALE PLAY Records,29116081,1,1
Business Music,29009122,1,1
Kevin Kaarl,28990428,1,1
LVRN/Interscope Records,28916809,1,3
GREE CASSUA,28847840,1,1
Polydor x Island Records & Kontor New Media & Summerfield Records,28748438,1,1
RichFish/Columbia,28209307,1,2
Blonded,28199861,1,3
Universal Music Division Capitol Music France,27760704,2,2
Epic/Legacy,27714879,1,2
Yung Baby Tate,27419781,1,1
Kemosabe / RCA Records / Last Kings Music / EMPIRE,27165327,1,1
"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",26963619,1,1
Internet Money / 10K Projects,26894046,1,1
"Miserable Music Group, LLC",26883237,1,1
Future Classic,26675858,1,2
Funk Explode Records,26672289,1,1
Verve Reissues,25890384,1,2
3TR6AP2,25854909,1,1
Cactus Jack / Atlantic,25779677,1,2
P2021,25298097,1,1
EDAM Entertainment,25022226,1,1
Back Lot Music,24925804,2,2
MOST CONTENTS,24637013,1,1
Echame La Culpa PS,24376968,1,1
Wallace Kemps,24213241,1,1
Eardruma Records/Interscope Records,24055735,1,1
The Wave Music Group,23968409,1,1
"Tha Lights Global, INC/Atlantic Recording Corp",23632275,1,1
DC MUSIC,23586872,1,1
Tratto Entretenimentos,23571642,1,1
eOne Music,23563710,2,2
Universal Music Latino / Asylum Records UK,23382361,1,1
Chosen Few/ WK Records,23164535,1,1
Kontor Records,23065836,1,1
Mavin Records,22698871,1,1
BMLG Records,21946131,1,1
Rhino Atlantic,21924981,1,1
TrapSoul/RCA Records,21897049,1,4
Colour Vision Records/Sony Music Entertainment,21839243,1,1
"Lord’s Child, LLC",21789904,1,1
TwizzyRich,21429982,1,1
Cash Money Records Inc.,21137251,1,1
JINX Music,21111742,1,1
Republic/MB/Big Sean,21092687,1,3
Top Dawg Entertainment,21007995,1,1
Mosley / Geffen,20670614,1,1
WK Records,20329174,1,1
Joytime Collective/Grade A Productions/Interscope Records,20327510,1,1
Young,20065204,1,5
Rec. 118 / Mal Luné Music,20020226,1,2
Cali y El Dandee PS,19787966,1,1
"Warner Bros. Entertainment, Inc.",19711363,1,1
Ak4:20,19657333,1,1
Sony Music Latin/Magnus,19598504,1,1
Joytime Collective / Lil Peep,19523094,1,1
Monsieur Perine,19491625,1,1
Bis Es Klappt Records,19487598,1,1
Modular,19448068,1,1
"100 Entertainment, Inc",19370971,1,1
Niack / Ritmo dos Fluxos,18835662,1,1
NF Real Music II,18832021,1,2
Life Song Records,18560499,1,1
StageArt Europe,18487032,1,1
SoulForce Records,18393744,1,1
Decca (UMO),18247530,1,1
"YG Entertainment, distributed through Interscope Records",18099301,1,1
Anval Music,18026514,1,1
Perros Blancos,17979343,1,2
RCA Group,17931439,1,1
Epic/300/Atlantic Recording Corporation,17899596,1,3
Universal Music Division Polydor,17517114,1,2
Fifty Shades Darker,17362922,2,2
Neighbourhood,17200922,1,2
M.A Music / 3D,16985801,1,1
10:22PM/Astralwerks,16668331,1,1
"RB Music, Inc. (RB Music/Grupo Marca Registrada)",16327613,1,1
"Future History/Artist Partner Group, Inc.",16235994,1,1
GOLD LEAGUE/DIVISION,16006427,1,3
Polar Music International AB,15968639,1,2
ersguterjunge/iGroove,15812293,1,2
OQProduções,15646619,1,1
10K Projects/Capitol Records,15537632,1,1
iHipHop Distribution,15486045,1,1
Big Loud / Mercury Records / Republic Records,15420247,1,1
Whiteheart Records/WM Germany,15278113,1,1
