source,streams
Davi Kneip,55135520
Rien 100 Rien,55031185
Geffen Records,54039824
Real Hasta La Muerte LLC & Aura Music Corp.,53693836
Allezgo Productions,53434935
THEBLACKLABEL/Interscope Records,53057038
LEB Records,52625205
88 Classic,52485087
Kapital Music & Entertainment,52439375
Pale Records,51695388
Juice WRLD / Interscope PS,51530355
Ana Castela,51392145
Epic/Bad Boy Entertainment,51242212
Winners Circle Entertainment Inc / EMPIRE,50711031
No Love Entertainment,50470856
Paulo Pires,49986698
Fifty One,49492639
"bbno$, Rich Brian appears courtesy of 88Rising",49269963
Republic Records - Stray Kids,49010107
Superstar Pride under exclusive license to UnitedMasters LLC,48584874
Benny Blanco Solo Album PS,48473636
"2018 YG Entertainment, distributed through Interscope Records",47980068
"UMG Recordings, Inc./Universal Music Latino",47746154
Music World Music/Columbia,47583258
Mc Anjim,47248326
YG Entertainment,46649758
TV Girl,46381839
Firefly Entertainment,46223688
Black Panther 2 Rihanna Recordings,45853710
Machine Entertainment Group - G Herbo,45657385
"Andaluz Music, LLC",45357858
OVO/Republic Records,45104299
"Night Street Records, Inc./Warner Records Inc.",45027440
Riot Games,44497436
YBNL Nation / EMPIRE,44442177
Blac Noize! Recordings,44421300
"1400 Entertainment, Inc. / 10K Projects",44276878
"Leah Kate, under exclusive license to 10K Projects / MDDN",43939041
G59 Records,43775778
Bo Burnham,43443798
10 Summers / Interscope PS,43335626
MAU Records,43228674
Roc-A-Fella,42995464
Joytime Collective,42936826
"Real Hasta La Muerte, LLC & Hear This Music, LLC",42594903
b1,42438485
Black Circle / EMPIRE,42388027
"Real Hasta La Muerte, LLC",42263671
Stay High,42246369
Universal Music AS,42081463
Indipendenza,41776605
Cube Entertainment,41295999
Marshmello/Republic,40787506
Riggins Recording Limited,40775091
Loma Vista Recordings,40734926
The Valory Music Co.,40530955
WM Spain,39920266
Photo Finish / Republic Records,39920065
Rhino/Elektra,39406751
Z Entertainment/Sony Music,39089078
Nas Nuvens Catalog,38981595
Roc Nation LLC,38891803
Jonas Brothers,38737747
Lava Music/Republic Records,38669233
IGA,38442524
TulusCompany,38394497
DF Records,37831593
Republic Records - TXT,37544699
Galactic / Republic Records,37226727
Monument Records,37031292
"Supergiant Records, LLC / Def Jam Recordings",36486533
"Gawk Records, under exclusive license to Amuseio AB",36481473
Love Funk,36431050
MC Kevin o Chris,35814063
P2018,35681754
Atlantic Nashville,35655470
One Play,35330043
Justin Bieber 2021 PS/ Def Jam,35262377
Columbia/M2V,35210226
Louis The Child / Interscope,34962122
Ultra Records,34951697
BELIFT LAB,34682956
Loredana,34576028
Twenty Nine Music Group,33791553
Lord A-Wall Records,33735138
SALES,33592059
Lumbre Music/Columbia,33358331
Rebota Remix,31788116
DN7 Music,31705691
YRF Music,31648253
CORPSE,31447232
"Manzana Records, Inc.",31294788
Nicki Minaj/Cash Money,31194362
Jovem Dionisio,31160840
Papatunes,31135935
Shady Records/Interscope Records,30876809
DCD2 / Crush Music,30668813
Crimson,30565436
Mad Love/Interscope Records,30353786
Strainge Entertainment,30267374
i am OTHER/Columbia,30069267
Taylor Gang/Atlantic,29998514
Arista Records/Columbia Records,29765969
"Never Broke Again, LLC",29565841
Lakeshore Records,29492607
Epic/London Ent.,29235093
DOGUITO Records / DALE PLAY Records,29116081
Business Music,29009122
Kevin Kaarl,28990428
LVRN/Interscope Records,28916809
GREE CASSUA,28847840
Polydor x Island Records & Kontor New Media & Summerfield Records,28748438
RichFish/Columbia,28209307
Blonded,28199861
Universal Music Division Capitol Music France,27760704
Epic/Legacy,27714879
Yung Baby Tate,27419781
Kemosabe / RCA Records / Last Kings Music / EMPIRE,27165327
"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",26963619
Internet Money / 10K Projects,26894046
"Miserable Music Group, LLC",26883237
Future Classic,26675858
Funk Explode Records,26672289
Verve Reissues,25890384
3TR6AP2,25854909
Cactus Jack / Atlantic,25779677
P2021,25298097
EDAM Entertainment,25022226
Back Lot Music,24925804
MOST CONTENTS,24637013
Echame La Culpa PS,24376968
Wallace Kemps,24213241
Eardruma Records/Interscope Records,24055735
The Wave Music Group,23968409
"Tha Lights Global, INC/Atlantic Recording Corp",23632275
DC MUSIC,23586872
Tratto Entretenimentos,23571642
eOne Music,23563710
Universal Music Latino / Asylum Records UK,23382361
Chosen Few/ WK Records,23164535
Kontor Records,23065836
Mavin Records,22698871
BMLG Records,21946131
Rhino Atlantic,21924981
TrapSoul/RCA Records,21897049
Colour Vision Records/Sony Music Entertainment,21839243
"Lord’s Child, LLC",21789904
TwizzyRich,21429982
Cash Money Records Inc.,21137251
JINX Music,21111742
Republic/MB/Big Sean,21092687
Top Dawg Entertainment,21007995
Mosley / Geffen,20670614
WK Records,20329174
Joytime Collective/Grade A Productions/Interscope Records,20327510
Young,20065204
Rec. 118 / Mal Luné Music,20020226
Cali y El Dandee PS,19787966
"Warner Bros. Entertainment, Inc.",19711363
Ak4:20,19657333
Sony Music Latin/Magnus,19598504
Joytime Collective / Lil Peep,19523094
Monsieur Perine,19491625
Bis Es Klappt Records,19487598
Modular,19448068
"100 Entertainment, Inc",19370971
