main_artist,country
Big Sean,USA
Big Shaq,UK
Big Zulu,ZA
Biggy,USA
Billie Eilish,USA
Bing Crosby,USA
Black Coffee,ZA
Black Eyed Peas,USA
Black Motion,ZA
Blackstreet,USA
Blanco Brown,USA
Blaq Diamond,ZA
Blaqnick,ZA
BlocBoy JB,USA
Blue Ivy,USA
Blueface,USA
Blxckie,ZA
Blxst,USA
Bobby Helms,USA
Boity,ZA
Bok Van Blerk,ZA
Boney M.,Germany
Boohle,Germany
Brenda Lee,Germany
Brent Faiyaz,Germany
Brett Eldredge,USA
Bring Me The Horizon,UK
Britney Spears,USA
Bruce Springsteen,USA
Bruno Mars,USA
Bryan Adams,Canada
Bryce Vine,USA
Bryson Tiller,USA
Burl Ives,USA
Burna Boy,Nigeria
Busiswa,ZA
Busta 929,ZA
Busta Rhymes,USA
CJ,USA
CKay,Nigeria
CORPSE,USA
Calum Scott,UK
Calvin Harris,UK
CamelPhat,UK
Camila Cabello,USA
Cardi B,USA
Cash Cash,USA
Cashmere Cat,Norway
Cassper Nyovest,ZA
Chance the Rapper,USA
Charli XCX,UK
Charlie Puth,USA
Cheat Codes,USA
Childish Gambino,USA
Chle,USA
Chloe x Halle,USA
Chris Brown,USA
Chris Rea,UK
Christina Aguilera,USA
Chuck Berry,USA
Ciara,USA
Clairo,USA
Clean Bandit,UK
Cline Dion,USA
Clinton Kane,Australia
Cochise,USA
Coldplay,UK
Conan Gray,USA
Coolio,USA
Cordae,USA
Costa Titch,ZA
Curtis Waters,Canada
Cyfred,ZA
DBN Gogo,ZA
DDG,USA
DJ Big Sky,ZA
DJ Cleo,ZA
DJ Durel,USA
DJ Ganyani,ZA
DJ Jaivane,USA
DJ Khaled,USA
DJ Maphorisa,ZA
DJ Snake,France
DJ Stokie,ZA
DJ Sumbody,ZA
DJ Tarico,ZA
DJ Tira,ZA
DJ Zinhle,ZA
DMX,USA
Da Les,ZA
DaBaby,USA
DaVido,Nigeria
Daddy Yankee,Puerto Rico
Dan + Shay,USA
DaniLeigh,USA
Daniel Caesar,Canada
Darlene Love,USA
Daryl Hall & John Oates,USA
Dave,UK
David Guetta,France
David Scott,ZA
Daya,USA
De Mthuda,ZA
Dean Lewis,Australia
Dean Martin,USA
Demi Lovato,USA
Dennis Lloyd,Israel
Dermot Kennedy,USA
Desiigner,USA
Diplo,USA
Distruction Boyz,ZA
Dixie,USA
Dj Abux,ZA
Dj Melzi,ZA
Dj Obza,ZA
Dj Sunco,ZA
Djy Zan SA,ZA
Dladla Mshunqisi,ZA
Dlala Regal,ZA
Dlala Thukzin,ZA
Doja Cat,USA
Dominic Fike,USA
Don Toliver,USA
Dr. Dre,USA
Drake,USA
Dreamville,USA
DripReport,USA
Dua Lipa,UK
Duncan Laurence,Netherlands
Dynoro,Lithuania
Dzo 729,ZA
Eagles,USA
Early B,USA
"Earth, Wind & Fire",USA
Ed Sheeran,UK
Eduardo XD,ZA
Elaine,ZA
Elandr,ZA
Elevation Worship,USA
Ella Fitzgerald,USA
Ella Mai,UK
Ellie Goulding,UK
Elton John,UK
Elvis Presley,USA
ElyOtto,Canada
Eminem,USA
EmotioNew Zealand DJ,ZA
Emtee,ZA
Erica Banks,USA
Eurythmics,UK
FATMAN,ZA
FLETCHER,USA
Fabolous,USA
Falz,Nigeria
Famous Dex,USA
Fantasia,USA
Felix Jaehn,Germany
Felo Le Tee,Germany
Fifth Harmony,Germany
Fleetwood Mac,Germany
Flipp Dinero,USA
Florence + The Machine,UK
Focalistic,ZA
Fort Minor,USA
Foster The People,USA
Foushe,USA
Francois van Coke,ZA
Frank Casino,ZA
Frank Ocean,USA
Frank Sinatra,USA
French Montana,USA
Future,USA
G Herbo,USA
G-Eazy,USA
GASHI,USA
Gaba Cannal,ZA
Galantis,Sweden
Gaullin,Lithuania
Geato,ZA
GeeSixFive,ZA
Gemini Major,ZA
George Ezra,UK
Gesaffelstein,France
Giveon,USA
Glass Animals,UK
Gnarls Barkley,USA
GoldFish,ZA
Gryffin,USA
Gucci Mane,USA
Gunna,USA
Gwen Stefani,USA
Gyakie,Ghana
H.E.R.,USA
HVME,Spain
Hailee Steinfeld,USA
Halsey,USA
Harry Styles,UK
Headie One,UK
Heavy K,ZA
Hillsong Worship,Australia
Holly Rey,ZA
Hozier,UK
ILuvJupiter,ZA
Imagine Dragons,USA
Intaba Yase Dubai,ZA
Internet Money,USA
Irene-Louise Van Wyk,ZA
Isaiah Rashad,USA
J Balvin,Colombia
J. Cole,USA
JACKBOYS,USA
JP Saxe,Canada
Jack Harlow,USA
Jacquees,USA
Jaden,USA
Jake Paul,USA
James Arthur,UK
James Bay,UK
James Blake,UK
Jason Derulo,USA
Jason Isbell and the 400 Unit,USA
Jason Mraz,USA
Jawsh 685,New Zealand
Jax Jones,UK
Jay Electronica,USA
Jay Rock,USA
JazziDisciples,ZA
Jeremy Loops,ZA
Jeremy Zucker,USA
Jess Glynne,UK
Jessie J,UK
Jessie Reyez,Canada
Jhen Aiko,USA
Jobe London,ZA
Joel Corry,UK
Joey Bada$$,USA
Joey Fatts,USA
John Legend,USA
John Lennon,UK
John Mayer,USA
Johnny Clegg,ZA
Joji,Japan
Jon Bellion,USA
Jonas Blue,UK
Jonas Brothers,USA
Jorja Smith,UK
Jos Feliciano,Puerto Rico
Josiah De Disciple,ZA
Journey,USA
Joyner Lucas,USA
Jub Jub,ZA
Juice WRLD,USA
Julia Michaels,USA
Juluka,ZA
Junior De Rocka,ZA
Justin Bieber,Canada
Justin Timberlake,USA
K CAMP,USA
K.O,ZA
KALEO,Iceland
KAROL G,Colombia
KDDO,Nigeria
KIDS SEE GHOSTS,USA
KSI,UK
KYLE,USA
Kabza De Small,ZA
Kabza De Small&Dj Maphorisa,ZA
Kali Uchis,USA
Kamo Mphela,ZA
Kane Brown,USA
Kanye West,USA
Kari Jobe,USA
Katy Perry,USA
KayGee DaKing,ZA
Keala Settle,USA
Kehlani,USA
Kelly Clarkson,USA
Kelly Khumalo,ZA
Kelvin Momo,ZA
Kendrick Lamar,USA
Khalid,USA
Kid Cudi,USA
Kid X,ZA
Kiiara,USA
Killer Kau,ZA
Kina,Italy
King Monada,ZA
King Princess,USA
Kodak Black,USA
Kris Kross Amsterdam,Netherlands
Kwesta,ZA
Kweyama Brothers,ZA
Kwiish SA,ZA
Kygo,Norway
Kyle Watson,ZA
Kylie Minogue,Australia
Labrinth,UK
Lady Du,ZA
Lady Gaga,USA
Lady Zamar,ZA
Lana Del Rey,USA
Lauren Daigle,USA
Lauv,USA
Leeland,USA
Lennon Stella,Canada
Leon Schuster,ZA
Leona Lewis,UK
Lewis Capaldi,Scotland
Liam Payne,UK
Lil Baby,USA
Lil Dicky,USA
Lil Mosey,USA
Lil Nas X,USA
Lil Peep,USA
Lil Pump,USA
Lil Skies,USA
Lil Tecca,USA
Lil Tjay,USA
Lil Uzi Vert,USA
Lil Wayne,USA
Lil Xan,USA
Lil Yachty,USA
Little Mix,UK
Lizzo,USA
Lloyiso,ZA
Logic,USA
Lord Huron,USA
Lorde,New Zealand
Los Unidades,UK
Lost Frequencies,Belgium
Loud Luxury,Canada
Loufi,ZA
Louis The Child,USA
Lukas Graham,Denmark
Luu Nineleven,ZA
MASN,Netherlands
MAX,USA
MEDUZA,Italy
Mabel,Sweden
Mac Miller,USA
Machine Gun Kelly,USA
Madison Beer,USA
Mafikizolo,ZA
Maggie Lindemann,USA
Majestic,UK
Majid Jordan,Canada
Major Lazer,USA
Major League Djz,ZA
Makhadzi,ZA
Maluma,ZA
Manqonqo,ZA
Mapara A Jazz,ZA
Maren Morris,USA
Mariah Carey,USA
Mario,USA
Mark Ronson,UK
Maroon 5,USA
Marshmello,USA
Martin Garrix,Netherlands
Martin Jensen,Denmark
Mas Music,ZA
Mas Musiq,ZA
Masego,USA
Masked Wolf,Australia
Master KG,ZA
Matthew Mole,ZA
Max Hurrell,ZA
Mduduzi,ZA
Meek Mill,USA
Megan Thee Stallion,USA
Meghan Trainor,USA
Melanie Martinez,USA
Mellow & Sleazy,ZA
Metro Boomin,USA
Mfr Souls,ZA
Mi Casa,ZA
Michael Bubl,USA
Michael Jackson,USA
Migos,USA
Miguel,USA
Mike Posner,USA
Mike WiLL Made-It,USA
Miley Cyrus,USA
Miss Pru DJ,ZA
Mlindo The Vocalist,ZA
Mneskin,Italy
Money Man,USA
Mr JazziQ,ZA
Mr. Probz,Netherlands
Mthandazo Gatya,ZA
MthuNew Zealandi,ZA
Mumford & Sons,UK
Musa Keys,ZA
Mustard,USA
Muzzy D Pilot,ZA
N.E.R.D,USA
NAV,USA
NF,USA
NLE Choppa,USA
NOTD,Sweden
Nas,USA
Nasty C,ZA
Nat King Cole,USA
Natalie Taylor,USA
Nathan Dawe,UK
Nathan Evans,UK
Nea,ZA
Neon Dreams,Canada
Niall Horan,UK
Nick Jonas,USA
Nicki Minaj,USA
Nicky Jam,USA
Nipsey Hussle,USA
Noah Cyrus,USA
Nomcebo Zikode,ZA
Normani,USA
Ntosh Gazi,ZA
OSKIDO,ZA
Oasis,UK
Octavian,France
Ofenbach,France
Offset,USA
Oliver Tree,USA
Olivia Rodrigo,USA
OneRepublic,USA
P!nk,USA
PARTYNEXTDOOR,USA
Pabi Cooper,ZA
Panic! At The Disco,USA
Papa Roach,USA
Party in Backyard,Netherlands
Pascal & Pearce,ZA
Passenger,UK
Paul McCartney,UK
Paul Rosenberg,USA
Pedro Cap,Puerto Rico
Perry Como,USA
Petit Biscuit,France
Pharrell Williams,USA
Pink Sweat$,USA
Playboi Carti,USA
Polo G,USA
Poo Bear,USA
Pooh Shiesty,USA
Pop Smoke,USA
Portugal. The Man,USA
Post Malone,USA
Powfu,Canada
Prince BeNew Zealanda,ZA
Prince Kaybee,ZA
Pusha T,USA
Quality Control,USA
Quavo,USA
Queen,UK
R. Kelly,USA
R3HAB,Netherlands
ROS,USA
ROSALA,Spain
Rae Sremmurd,USA
Rag'n'Bone Man,UK
Red Hot Chili Peppers,USA
Reece Madlisa,ZA
Regard,ZA
Regi,Belgium
Ren,ZA
Rethabile Khumalo,ZA
Riaan Benad,ZA
Rich The Kid,USA
Rick Ross,USA
Ricus Nel,ZA
Rihanna,USA
Riky Rick,ZA
Rita Ora,UK
Riton,UK
Ritt Momney,USA
Rob $tone,USA
Robbie Wessels,ZA
Robin Schulz,Germany
Robinson,New Zealand
Rod Wave,USA
Roddy Ricch,USA
Rudimental,UK
Russ,USA
Russ Millions,UK
SAINt JHN,USA
SHAED,USA
SHELOVESKAMO,ZA
SZA,USA
Sabrina Carpenter,USA
Sam Feldt,Netherlands
Sam Fischer,Australia
Sam Smith,UK
Samthing Soweto,ZA
Saweetie,USA
Sayfar,ZA
ScHoolboy Q,USA
Sean Paul,USA
Seeb,USA
Selena Gomez,USA
Semi Tee,ZA
Sha Sha,ZA
Shado M,ZA
Shakin' Stevens,UK
Shane Eagle,ZA
Shawn Mendes,USA
Sheck Wes,USA
Shekhinah,ZA
Sho Madjozi,ZA
Shouse,Australia
SiR,USA
Sia,Australia
Sigala,UK
Silk City,UK
Simmy,ZA
Sista Prod,Ghana
Sithelo,ZA
Sjava,ZA
Ski Mask The Slump God,USA
Skrillex,USA
Sleepy Hallow,USA
Slipknot,USA
Smash Mouth,USA
Smiley,USA
Smokepurpp,USA
Snoh Aalegra,Sweden
Snotkop,ZA
Soa Mattrix,ZA
Social House,USA
Sofa Reyes,Mexico
Sofi Tukker,USA
Sofia Reyes,Mexico
Solange,USA
Sonder,USA
Soweto's Finest,ZA
Spoegwolf,ZA
SpotemGottem,USA
StarBoi3,USA
Starley,Australia
StaySolidRocky,USA
Steve Aoki,USA
Steve Hofmeyr,ZA
Steve Lacy,USA
Stevie Wonder,USA
Stillaround,USA
Stormzy,UK
Sueco,Sweden
Summer Walker,USA
Sun-El Musician,ZA
Surf Curse,USA
Surf Mesa,USA
Surfaces,USA
Swae Lee,USA
Synth Peter,ZA
TEEKS,New Zealand
THE ANXIETY,USA
THE SCOTTS,USA
TNS,ZA
TOKYOS REVENGE,USA
TOOL,USA
TOTO,USA
Tai Verdes,UK
Takeoff,USA
Tate McRae,Canada
Taylor Swift,USA
Tee Jay,ZA
Teejay,ZA
Tellaman,ZA
Teyana Taylor,USA
ThackzinDJ,ZA
The 1975,UK
The Carters,USA
The Chainsmokers,USA
The Goo Goo Dolls,USA
The Jackson 5,USA
The Kid LAROI,Australia
The Killers,USA
The Lowkeys,ZA
The Lumineers,USA
The Neighbourhood,USA
The Pogues,UK
The Police,UK
The Ronettes,USA
The Weeknd,USA
The White Stripes,USA
Timo Odv,ZA
Tion Wayne,UK
Tisto,Netherlands
Tom Walker,UK
Tones And I,Australia
Tony Bennett,USA
Topic,Germany
Toploader,UK
Tory Lanez,Canada
Train,USA
Travis Scott,USA
Trevor Daniel,USA
Trinidad Cardona,USA
Trippie Redd,USA
Troye Sivan,Australia
Tshego,ZA
Tumisho,ZA
Twenty One Pilots,USA
Ty Dolla $ign,USA
Tyga,USA
Tyla,ZA
Tyla Yaweh,USA
Tyler ICU,ZA
"Tyler, The Creator",USA
U2,Ireland
UNLIMITED SOUL,ZA
Vance Joy,Australia
Vedo,USA
Vetkuk,ZA
Vhudie,ZA
Vigiland,USA
Vigro Deep,ZA
Vusi Nova,ZA
Vusinator,ZA
WALK THE MOON,USA
WATTS,USA
WILLOW,USA
Wale,USA
Wallows,USA
Wham!,UK
Whitney Houston,USA
WhoHeem,USA
Why Don't We,USA
Wiz Khalifa,USA
WizKid,Nigeria
XXXTENTACION,USA
Y2K,USA
YBN Nahmir,USA
YG,USA
YNW Melly,USA
YUNGBLUD,UK
Yanga Chief,ZA
Years & Years,UK
Young Stoner Life,USA
Young T & Bugsey,UK
Young Thug,USA
Yung Bleu,USA
ZAYN,UK
Zac Efron,USA
Zahara,ZA
Zain SA,ZA
Zakes Bantwini,ZA
Zandimaz,ZA
Zara Larsson,Sweden
Zedd,Germany
Zero12Finest,ZA
a-ha,Norway
benny blanco,USA
blackbear,USA
dvsn,Canada
grandson,USA
salem ilese,USA
twocolors,Germany
