main_artist,artist_names
DJ Maphorisa,Kabza De Small - Nokwazi - Vigro Deep
DJ Maphorisa,Kabza De Small - Tman Xpress
DJ Maphorisa,Kabza De Small - Sha Sha
DJ Maphorisa,K.O - Moonchild Sanelly - Zulu Mkhathini - DJ Raybel
DJ Ngwazi,Nokwazi - Caltonic SA - Master KG - Lowsheen
DJ Snake,21 Savage - Gucci Mane - Offset - Sheck Wes
DJ Snake,Justin Bieber
DJ Snake,J Balvin - Tyga
DJ Snake,Selena Gomez
DJ Snake,Ozuna - Selena Gomez - Cardi B
DJ Stokie,Ben Da Prince - Nkosazana_Daughter
DJ Stokie,Sobzeen - Ommit - Zee_nhle
DJ Stokie,Omit ST - Sobzeen - Zee_nhle
DJ Stokie,Omit ST - Sobzeen - Zee_nhle
DJ Stokie,Daliwonga - Nia Pearl
DJ Stokie,Zee_nhle - Murumba Pitch
DJ Stokie,Eemoh
DJ Stokie,Sha Sha - TylerICU
DJ Stokie,Sobzeen - Zee_nhle - Faith Strings
DJ Stokie,Loxion Deep - Nobantu Vilakazi - Murumba Pitch - Sir Trill
DJ Stokie,Kabza De Small - Masterpiece YVK - Madumane
DJ Stokie,Howard Gomba - Bongza - Focalistic - Madumane
DJ Stokie,Ommit - Oscar Mbo - MaWhoo
DJ Sumbody,The Lowkeys - Drip Gogo
DJ Sumbody,Cassper Nyovest - Thebe - Vettys
DJ Sumbody,Leehleza - Londie London
DJ Tarico,Preck - Nelson Tivane
DJ Tarico,Preck - Burna Boy - Nelson Tivane
DJ Tira,DJ Maphorisa - Zeh McGeba - Xduppy - We Dem Boyz - Campmasters
DJ Tira,General C'mamane - Dladla Mshunqisi - Sizwe Mdlalose - Ms Mamellow - Miss Vee
DJ Tira,Joocy
DJ Tshegu,Vyno Keys - Al xapo - Zee Nxumalo - LeeMcKrazy - QuayR Musiq
DJ Tshegu,Focalistic - Sims Noreng
DJ Zinhle,Dr Duda - Lucille Slade
DJ Zinhle,Mvzzle - Rethabile
DMX,
Da Gifto,Brandon Dhludhlu
Da Gifto,Brandon Dhludhlu - Zama Khumalo
Da Les,Jobe London - Focalistic - Kamo Mphela
Da Mabusa,Ama Grootman
DaBaby,Young Thug
DaBaby,
DaBaby,Lil Wayne
DaBaby,Quavo
DaBaby,Migos
DaBaby,Roddy Ricch
DaBaby,Moneybagg Yo - Lil Baby
Daddy Yankee,Snow
Daliwonga,M.J - Mellow & Sleazy
Daliwonga,LeeMcKrazy - TitoM
Daliwonga,Nkosazana Daughter - Happy Jazzman
Daliwonga,Nkosazana Daughter
Dan + Shay,Justin Bieber
DaniLeigh,
DaniLeigh,Chris Brown
Daniel Caesar,H.E.R.
Daniel Caesar,
Daniel Caesar,Pharrell Williams
Daniel Caesar,Kali Uchis
Daniel Caesar,Brandy
Daniel Caesar,John Mayer
Darlene Love,
Daryl Hall & John Oates,
Dasha,
Dave,Stormzy
Dave,
Dave,Burna Boy
Dave,Central Cee
Dave,WizKid
David Guetta,Anne-Marie - Coi Leray
David Guetta,Brooks - Loote
David Guetta,Anne-Marie
David Guetta,Sia
David Guetta,OneRepublic
David Guetta,Bebe Rexha
