source,streams,count_main_artist,count_track_name
Third Pardee Records,150596,1,3
Three Quarter,149706,1,1
2016098 Records DK,147472,1,1
Quality Control Music/Motown Records/Capitol Records,147274,4,9
Question Everything/RCA Records,147136,1,2
ThxSoMch,146055,1,1
Monkey Puzzle/Atlantic,146032,1,2
Born In Soweto,144629,1,1
Rufftown records,143924,1,1
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,142311,1,1
Joytime Collective/Grade A Productions/Interscope Records,141487,1,1
Bad Boy Entertainment/Epic Records,140073,1,1
Mike WiLL Made-It,133580,2,7
Early A.M,131119,2,5
Griselda Records / EMPIRE,130698,1,1
Ujuu Records,129737,1,1
Epic/Grand Hustle/Cactus Jack,129692,1,3
CORPSE,128738,1,2
Paul McCartney Catalog,127551,1,1
Rock The World/IDJ/Kanye/LP6,127233,1,1
F-Stop Records/Atlantic,127222,1,1
Quality Control Music (Caroline),127136,1,1
Shady Records/Interscope Records,126803,1,1
Rinse,125410,1,2
WILL OF STEEL / NEXT MUSIC,125112,1,1
Galactic / Republic Records,124407,1,2
Ivyson Entertainment,124071,1,1
Epic/Sing It Loud,123057,1,1
independently popular.,121750,1,2
Rebel Music PS,120252,1,1
Aurora Black,120131,1,1
So Vinci,120078,1,1
XO Records / Republic Records,119632,1,1
Sony Music Special Projects,119132,1,1
CAPITOL CATALOG MKT (C92),117279,1,2
El-World,115194,1,1
"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",114851,1,1
Robots & Humans,114458,1,1
Columbia/Last Kings Records,112199,1,3
Play It Again Sam,107272,1,1
Black Crow Records,105828,1,1
CYB3RPVNK,104400,1,3
EARLY A.M,103928,1,2
Broken Bow Records,103289,1,1
EMI Catalogue,101316,1,1
Twenty Nine Music Group (Joyner Lucas),100781,1,2
Redbox Entertainment,98488,1,1
eOne Urban,97317,1,1
Otto Dynamite/RCA Records,97303,1,1
Geffen*,95787,2,2
Jeremy Loops,93070,1,11
Run It Up Records/Island,93006,1,1
DIEMON / Ed Sheeran appears courtesy of Asylum Records UK,92702,1,1
Parkwood Entertainment/Roc Nation,92535,1,2
VCK Music,90703,1,2
Steyn Entertainment,89402,1,3
MAU Records,88615,1,1
Arista/Legacy,88459,1,1
Spoegwolf (Pty) Ltd.,88405,1,7
"Tommy Boy Music, LLC",87561,1,1
KOTIN RECORDS,87218,1,1
Eardruma Records/Interscope Records,84914,1,4
Human Re Sources,84781,1,1
HITCO,84700,1,1
Epic/Bad Boy Entertainment,83898,1,1
Locomotion Recordings/Geffen Records,83474,1,1
"YG Entertainment, distributed through Interscope Records",82615,1,1
Earthquake records,81368,1,1
Dreamville/Interscope,81259,1,1
UNI/MOTOWN,80790,2,3
Nvak Collective,80384,1,1
Luna Rising Music,80277,1,1
"Lord’s Child, LLC",80232,1,1
"Leah Kate, under exclusive license to 10K Projects / MDDN",79866,1,1
Since 93,79704,1,1
El Cartel Records (EC3),78524,1,1
MODANA ENTERTAINMENT,78019,1,1
"Artium Recordings, LLC, under exclusive license to Roc Nation Records, LLC",77850,1,3
TwizzyRich,77722,1,1
Eagle Entertainment,77250,1,4
Beluga Heights/Warner Records,76592,1,2
Republic/Universal/FSF,75874,1,1
Tinted Records,74490,1,1
"Night Street Records, Inc./Warner Records Inc.",74229,1,1
Artist Partner,71997,1,5
MMG/Warner Records,71542,1,2
Interscope / Friends Keep Secrets / Joytime Collective,71140,1,1
Producer Kitchen Concept,71138,1,1
FADER Label,70699,1,1
Kordhell,70314,1,1
Columbia Local,70288,1,2
Lady Du Entertainment,68889,1,1
Mad Decent,68652,1,1
"Marshmello ""Tongue Tied"" ft Yungblud & blackbear",67687,1,1
Justin Bieber 2021 PS/ Def Jam,67528,1,1
Saint Records/Columbia,67408,1,7
AWGE Label,66610,1,3
"TenThousand Projects, LLC",65505,1,4
Supra Familias,65161,1,2
Sony Music CG,64914,1,1
KeyQaad,64277,1,1
Chance the Rapper,62878,1,6
De Disciple Tradings,61394,1,2
Motown Records,60943,2,2
stillaround,60740,1,2
Columbia Nashville,59195,1,1
Doza Nation Entertainment,59145,1,2
Epic/Freebandz/Grade A/Interscope,58819,1,3
RCA Local,57805,1,1
TUSA - Karol G & Nicki Minaj,57706,1,1
Universal Music New Zealand Limited,57359,1,1
Armani White,57263,1,1
Riggins Recording Limited,56984,1,1
Since 93/RCA Records,56856,1,1
J/Republic,56442,1,2
NINETY SEVEN,56365,1,1
SALES,55763,1,1
LMW Enteaiments,53017,1,2
Big Brother,52950,1,1
Dreaming Out Loud Entertainment,52673,1,1
Epic/London Ent.,51774,1,1
Mass Appeal / NAS,51723,1,7
Spaceship Records / Geobek Records,50969,1,1
"Getting Out Our Dreams II, LLC / Def Jam Recordings",50873,1,1
Rimas Entertainment LLC,50304,1,1
SM Entertainment West Africa Limited,49712,2,2
RARE Sound / Interscope / EMPIRE,49684,1,1
Ciara,49605,1,1
Taylor Gang/Atlantic,49563,1,2
UMC (Universal Music Catalogue),49438,2,2
OWSLA/Atlantic,49313,1,1
EMI Recorded Music Australia Pty Ltd,48766,1,2
South Coast Music / Interscope PS,48196,1,1
Victor Victor Worldwide / Republic Records,47918,1,1
Black Circle / EMPIRE,47610,1,1
Galactic Records/Republic Records,47501,1,1
Columbia/M2V,46705,1,1
LB Recordings,45749,1,2
