main_artist,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
Coldplay,56703,9266,1556178,33829.95652173913,31,1,162,47437,6.225806451612903,6.119469026548672,8
Conan Gray,34549,10902,928269,21587.6511627907,36,51,164,23647,5.555555555555555,3.16905155017428,6
Coolio,2989,1068,14408,2401.3333333333335,81,15,100,1921,2.234567901234568,2.798689138576779,4
Cordae,15070,10946,26016,13008.0,114,4,61,4124,1.5350877192982457,1.3767586332906998,0
Costa Titch,28050,20354,202819,25352.375,99,1,88,7696,1.8888888888888888,1.3781074972978284,2
Curtis Waters,19015,13201,278519,17407.4375,101,1,89,5814,1.881188118811881,1.4404211802136202,6
Cyfred,34721,21130,221710,27713.75,62,1,112,13591,2.806451612903226,1.643208707998107,2
DBN Gogo,141369,15491,5686890,49451.217391304344,3,2,196,125878,66.33333333333333,9.125879542960428,9
DDG,19046,16499,215633,17969.416666666668,126,3,58,2547,1.4603174603174602,1.1543729923025638,6
DJ Big Sky,37854,11915,242825,20235.416666666668,24,1,165,25939,7.875,3.1770037767519934,6
DJ Cleo,23113,19383,125112,20852.0,112,2,68,3730,1.6071428571428572,1.1924366713099108,6
DJ Durel,3715,3715,3715,3715.0,182,32,0,0,1.0,1.0,4
DJ Ganyani,4341,3026,32449,3605.4444444444443,139,2,55,1315,1.39568345323741,1.4345670852610708,4
DJ Hlo,26453,26453,26453,26453.0,161,2,0,0,1.0,1.0,2
DJ Jaivane,20292,17290,93891,18778.2,153,4,37,3002,1.2418300653594772,1.1736263736263737,6
DJ Khaled,88130,1773,4825381,24745.54358974359,1,3,197,86357,198.0,49.70671178793006,2
DJ Maphorisa,146994,2207,8512329,37832.573333333334,1,2,199,144787,200.0,66.60353420933394,3
DJ Ngwazi,53948,25693,867069,37698.65217391304,35,4,143,28255,5.085714285714285,2.0997158759195114,3
DJ Snake,25844,5683,797695,13520.254237288136,5,4,195,20161,40.0,4.547598099595284,0
DJ Stokie,50613,18995,1309546,30454.558139534885,25,17,169,31618,7.76,2.6645433008686497,8
DJ Sumbody,66253,4647,1014301,26692.13157894737,14,5,185,61606,14.214285714285714,14.257155153862707,2
DJ Tarico,30376,17082,216356,21635.6,84,3,115,13294,2.369047619047619,1.7782461070132303,6
DJ Tira,17233,10224,78867,13144.5,119,3,66,7009,1.5546218487394958,1.6855438184663536,0
DJ Zinhle,40327,11120,633004,19781.375,20,6,180,29207,10.0,3.626528776978417,6
DMX,20217,2362,44932,11233.0,149,2,21,17855,1.1409395973154361,8.559271803556308,7
Da Les,16366,16366,16366,16366.0,176,3,0,0,1.0,1.0,0
DaBaby,92756,7267,6882836,28678.483333333334,1,8,198,85489,199.0,12.764001651300399,8
Daddy Yankee,10760,7251,78524,8724.888888888889,84,2,109,3509,2.2976190476190474,1.483933250586126,7
Daliwonga,192682,100370,1425109,142510.9,1,1,24,92312,25.0,1.9197170469263725,5
Dan + Shay,36384,13405,1126887,19429.08620689655,16,8,184,22979,12.5,2.7142111152555017,6
DaniLeigh,14863,7807,103612,9419.272727272728,127,9,67,7056,1.5275590551181102,1.9038042782118612,7
Daniel Caesar,25960,2198,2660512,13505.137055837564,83,34,117,23762,2.4096385542168677,11.81073703366697,0
Darlene Love,22546,6954,29500,14750.0,68,5,112,15592,2.6470588235294117,3.2421627840092033,0
Daryl Hall & John Oates,17932,2227,53530,5353.0,62,1,137,15705,3.2096774193548385,8.05208801077683,4
Dave,54945,21906,854087,37134.217391304344,32,15,142,33039,5.4375,2.508216926869351,3
David Guetta,13037,2089,808740,6683.801652892562,12,1,187,10948,16.583333333333332,6.240785064624222,7
David Scott,8421,8421,8421,8421.0,187,69,0,0,1.0,1.0,7
Davido,40511,9191,373849,23365.5625,75,6,125,31320,2.6666666666666665,4.407681427483408,2
Dax,28033,28033,28033,28033.0,114,3,0,0,1.0,1.0,2
Daya,8270,7600,23611,7870.333333333333,150,54,25,670,1.1666666666666667,1.0881578947368422,7
De Mthuda,119942,9553,9752664,43733.91928251121,2,1,196,110389,99.0,12.55542761436198,11
Dean Lewis,21990,4712,2694830,16233.915662650603,10,1,190,17278,20.0,4.666808149405773,0
Dean Martin,43080,8694,171192,24456.0,35,30,147,34386,5.2,4.955141476880607,2
Dee-Jay,5412,5412,5412,5412.0,111,2,0,0,1.0,1.0,4
Demi Lee Moore,27700,27700,27700,27700.0,152,6,0,0,1.0,1.0,2
Demi Lovato,27882,2661,392925,6659.745762711865,65,15,135,25221,3.076923076923077,10.478015783540023,7
Dennis Lloyd,12848,4350,444304,9067.42857142857,16,47,178,8498,12.125,2.9535632183908045,7
Dermot Kennedy,12048,11074,56984,11396.8,138,2,15,974,1.108695652173913,1.0879537655770273,7
Desiigner,2681,2218,7365,2455.0,120,15,73,463,1.6083333333333334,1.208746618575293,4
Die Heuwels Fantasties,25355,25355,25355,25355.0,157,1,0,0,1.0,1.0,2
Diplo,20383,3439,333437,11908.464285714286,53,2,147,16944,3.7735849056603774,5.927013666763594,0
Distruction Boyz,5281,2300,13334,3333.5,156,15,23,2981,1.1474358974358974,2.296086956521739,4
Dixie,19361,15101,84700,16940.0,92,1,77,4260,1.8369565217391304,1.2821005231441627,6
Dj Abux,73127,29528,518908,47173.454545454544,24,1,97,43599,5.041666666666667,2.4765307504741263,11
Dj Boat,27790,25227,53017,26508.5,150,1,40,2563,1.2666666666666666,1.101597494747691,2
Dj Karri,98851,25905,1181389,65632.72222222222,11,1,157,72946,15.272727272727273,3.8159042655857944,1
Dj Melzi,31639,18606,352281,25162.928571428572,87,9,109,13033,2.2528735632183907,1.700472965709986,2
Dj Obza,75129,19466,1773733,36198.63265306123,10,8,189,55663,19.9,3.8594986129661977,3
Dj Sunco,12660,10855,23515,11757.5,192,1,7,1805,1.0364583333333333,1.1662828189774297,0
Djy Zan SA,30445,18790,147472,24578.666666666668,82,2,116,11655,2.4146341463414633,1.6202767429483769,2
Dladla Mshunqisi,22699,3236,66151,8268.875,138,1,52,19463,1.3768115942028984,7.014524103831891,7
Dlala Regal,31608,21181,270342,27034.2,106,23,89,10427,1.8396226415094339,1.492280817713989,2
Dlala Thukzin,48112,22136,1086235,36207.833333333336,37,8,150,25976,5.054054054054054,2.1734730755330682,3
Doja Cat,103313,8516,16334650,40734.788029925185,3,154,196,94797,66.33333333333333,12.131634570220761,11
Dominic Fike,24861,6276,1233804,13558.285714285714,35,3,162,18585,5.628571428571429,3.961281070745698,0
Don Toliver,44370,11103,1975264,20792.252631578947,28,2,169,33267,7.035714285714286,3.9962172385841663,6
Dove Cameron,53159,31277,633960,42264.0,35,5,86,21882,3.4571428571428573,1.6996195287271798,11
Dr. Dre,31817,1099,249455,12472.75,78,14,114,30718,2.4615384615384617,28.950864422202002,0
Drake,392465,2094,34433513,30799.206618962435,1,1,199,390371,200.0,187.4235912129895,8
Dreamville,40852,7760,457643,13460.088235294117,22,4,168,33092,8.636363636363637,5.264432989690722,0
Drip Gogo,32259,32259,32259,32259.0,114,23,0,0,1.0,1.0,8
DripReport,35442,12616,344774,22984.933333333334,28,1,140,22826,6.0,2.809289790741915,2
Drizzy Sam Rsa,52436,33521,441706,44170.6,38,10,63,18915,2.6578947368421053,1.5642731422093612,11
Droomsindroom,33552,32027,65579,32789.5,102,1,11,1525,1.107843137254902,1.0476160739376152,8
Dua Lipa,72225,1533,10668105,25400.25,4,1,196,70692,50.0,47.11350293542074,2
Duncan Laurence,39639,20793,824198,30525.85185185185,48,1,107,18846,3.2291666666666665,1.9063627182224787,8
Dynoro,27910,3612,1209965,15920.592105263158,4,6,190,24298,48.5,7.727021040974529,0
Dzo 729,81058,20233,1631405,52625.967741935485,7,27,162,60825,24.142857142857142,4.0062274502051105,9
Eagles,5402,5402,5402,5402.0,200,3,0,0,1.0,1.0,4
Early B,11694,6868,134895,9635.357142857143,125,84,73,4826,1.584,1.7026790914385557,7
Earth,2782,2156,11734,2346.8,147,2,43,626,1.2925170068027212,1.290352504638219,4
Ed Sheeran,149326,1571,25075585,24901.27606752731,1,9,199,147755,200.0,95.0515595162317,2
Eduardo XD,35196,35196,35196,35196.0,65,28,0,0,1.0,1.0,3
Elaine,51296,9825,3066803,22717.05925925926,12,5,187,41471,16.583333333333332,5.220966921119593,2
Elandr,19855,6756,648870,12722.941176470587,111,3,88,13099,1.7927927927927927,2.9388691533451747,0
Elevation Worship,30744,12363,565201,18232.290322580644,73,1,127,18381,2.73972602739726,2.4867750545983984,6
Ella Fitzgerald,6497,6497,6497,6497.0,194,1,0,0,1.0,1.0,4
Ella Mai,17029,3724,687429,8592.8625,24,2,176,13305,8.333333333333334,4.572771213748657,7
Elley Duh,55612,24713,776660,45685.882352941175,32,13,143,30899,5.46875,2.2503136001294863,11
Ellie Goulding,27694,7529,2507432,15105.012048192772,10,37,185,20165,19.5,3.678310532607252,0
Eloff,45661,25853,885918,35436.72,49,3,135,19808,3.7551020408163267,1.7661780064209183,3
Elton John,120054,7798,3287438,76452.04651162791,8,1,175,112256,22.875,15.395486022056938,1
Elvis Presley,17621,7062,24683,12341.5,116,1,58,10559,1.5,2.495185499858397,0
ElyOtto,20677,18738,97303,19460.6,153,3,30,1939,1.196078431372549,1.1034795602518945,6
Em Beihold,34225,24312,311690,28335.454545454544,84,19,83,9913,1.9880952380952381,1.4077410332346167,8
Eminem,92016,1247,4576388,15305.645484949833,1,31,197,90769,198.0,73.78989574979951,0
Emmy Meli,26831,23668,152877,25479.5,163,25,29,3163,1.177914110429448,1.133640358289674,2
Emotionz DJ,36182,24297,92886,30962.0,62,3,118,11885,2.903225806451613,1.4891550397168374,8
Emtee,48334,19417,525509,27658.36842105263,28,2,145,28917,6.178571428571429,2.4892619869186796,2
Erica Banks,16529,16529,16529,16529.0,196,1,0,0,1.0,1.0,0
Eurythmics,4037,2122,29717,2971.7,135,2,59,1915,1.4370370370370371,1.9024505183788878,4
