main_artist,artist_names,art_dict
Bad Bunny,Tainy,{'Bad Bunny': ['Tainy']}
Bad Bunny,Jhayco,{'Bad Bunny': ['Jhayco']}
Bad Bunny,Jhay Cortez,{'Bad Bunny': ['Jhay Cortez']}
Bad Bunny,Gabriela,{'Bad Bunny': ['Gabriela']}
Bad Bunny,Anuel AA,{'Bad Bunny': ['Anuel AA']}
Bad Bunny,Young Miko,{'Bad Bunny': ['Young Miko']}
Bad Bunny,Mora,{'Bad Bunny': ['Mora']}
Bad Bunny,Pablo Chill-E - Duki,"{'Bad Bunny': ['E ', ' Duki', 'Pablo Chill']}"
Bad Bunny,Sech,{'Bad Bunny': ['Sech']}
Bad Bunny,ROSALA,{'Bad Bunny': ['ROSALA']}
Bad Bunny,Tony Dize,{'Bad Bunny': ['Tony Dize']}
Bad Bunny,Daddy Yankee,{'Bad Bunny': ['Daddy Yankee']}
Bad Bunny,YOVNGCHIMI,{'Bad Bunny': ['YOVNGCHIMI']}
Bad Bunny,Drake,{'Bad Bunny': ['Drake']}
Bad Bunny,Zion & Lennox,{'Bad Bunny': ['Zion & Lennox']}
Bad Bunny,Chencho Corleone,{'Bad Bunny': ['Chencho Corleone']}
Bad Bunny,Bomba Estreo,{'Bad Bunny': ['Bomba Estreo']}
Bad Bunny,The Maras,{'Bad Bunny': ['The Maras']}
Bad Bunny,Kendo Kaponi - Arcngel,"{'Bad Bunny': ['Kendo Kaponi ', ' Arcngel']}"
Bad Bunny,Don Omar,{'Bad Bunny': ['Don Omar']}
Bad Bunny,RaiNao,{'Bad Bunny': ['RaiNao']}
Bad Bunny,Feid,{'Bad Bunny': ['Feid']}
Bad Bunny,Rauw Alejandro,{'Bad Bunny': ['Rauw Alejandro']}
Bad Bunny,Myke Towers,{'Bad Bunny': ['Myke Towers']}
Bad Bunny,engo Flow,{'Bad Bunny': ['engo Flow']}
Bad Bunny,Bryant Myers,{'Bad Bunny': ['Bryant Myers']}
Bad Bunny,ABRA,{'Bad Bunny': ['ABRA']}
Bad Bunny,Jowell & Randy - engo Flow,"{'Bad Bunny': ['Jowell & Randy ', ' engo Flow']}"
Bad Bunny,DJ Luian - Mambo Kingz - Prince Royce - J Balvin,"{'Bad Bunny': ['DJ Luian ', ' J Balvin', ' Mambo Kingz ', ' Prince Royce ']}"
Bad Bunny,Luar La L,{'Bad Bunny': ['Luar La L']}
Bad Bunny,Eladio Carrion,{'Bad Bunny': ['Eladio Carrion']}
Bad Bunny,Dei V - Omar Courtz,"{'Bad Bunny': ['Dei V ', ' Omar Courtz']}"
Bad Bunny,Chuwi,{'Bad Bunny': ['Chuwi']}
Bad Gyal,Tokischa - Young Miko,"{'Bad Gyal': ['Tokischa ', ' Young Miko']}"
Bag Raiders,,{'Bag Raiders': ['']}
Bakar,Summer Walker,{'Bakar': ['Summer Walker']}
Band Aid,,{'Band Aid': ['']}
Banda MS de Sergio Lizrraga,Snoop Dogg,{'Banda MS de Sergio Lizrraga': ['Snoop Dogg']}
Banx & Ranx,Ella Eyre - Yxng Bane,"{'Banx & Ranx': ['Ella Eyre ', ' Yxng Bane']}"
