source,streams
Epic/Legacy,36314
"Encore Recordings, LLC",36073
031Choppa,35968
Spaceship Records / EMPIRE,35626
EduardoLuzquinos2021,35196
Sire,35151
Napalm Prod,34485
Access Records,33506
Capitol Records (CAP),33332
Monstercat,33247
Spirit Motion,33244
KORATORI,33220
Mabala Noise Entertainment,32585
Ganyani Entertainment,32449
Best Laid Plans/Columbia,31975
Onnafriday Records / Island Records,31771
"XO Records, LLC and Republic Records",31143
Moon Boy University / EMPIRE,30861
Kaofela Re Mapantsula,30406
Crux Global / MOVES Recordings,30388
"Artium Recordings, LLC",30298
Syco Music UK,29646
WM Germany,29373
DJ Snake Def Jam,29346
VILLAIN MUSIQ / Top Tier Music / EMPIRE,29298
Baby Keem LLC,29114
Blaqwav Entertainment,28935
Juice WRLD / Interscope PS,28594
10:22 pm/Astralwerks,28412
"88rising Music/12Tone Music, LLC/Columbia",28329
Republic Records - Stray Kids,28318
Worldstar,28106
Atlantic Nashville,28037
Living Legends Entertainment,28033
Bread Winners' Association/Atlantic,27856
Ejarden Entertainment,27177
THEUNS JORDAAN PRODUCTIONS CC,26921
Mguzuguzu Records,26596
House of Makunene,26522
Maz Entertainment,26453
Art@War/Atlantic Records,26016
No Love Entertainment,25906
NITRON concepts,25700
Six Course Music Group/RCA Records,25503
Groove Natives,25374
DRUMROLL RECORDS,24849
RCA Victor,24683
Sweat It Out,24608
"Gamebread, LLC / Def Jam Recordings",24597
Aftermath/Interscope Records,24574
Vhudie Music,24210
Major League Music,24137
Blac Noize! Recordings,23778
Otarel Music,23719
soul spirit productions,23515
Universal Music AS,23443
emPawa Africa Limited,23425
G59 Records,23341
BoyWithUke,22922
Dingaans Day Ent,22852
"NEW MONEY GANG , PIANO HUB & JACQUEL ENTERTAINMENT GROUP",22671
RCA/BMG Heritage,22469
Bathathe Wena,22414
The T Effect,22315
Hell Beach,22292
Sparrow (SPR),22242
Selena Gomez Latin Project,22087
Royal Am Entertainment under Exclusive License to Ownit Music,21870
Piano Hub (Pty) Ltd,21869
Blonded,21722
famifellaz Entertainment Group,21646
Cutthroat Records,20830
Muthaland Entertainment,20660
WEA Latina,20249
"Future History/Artist Partner Group, Inc.",20045
RAL,19964
Dead Silence/Atlantic,19143
Joytime Collective/Columbia,18916
Dope Dreams Co.,18857
BahdGuys Entertainment,18243
"The Conglomerate Entertainment, Inc. / EMPIRE",18127
Grade A/Posty/Interscope/Republic,17816
Joytime Collective/RCA Records/Effective Records,17530
Machine Shop/Warner Records,17457
Nicki Minaj/Cash Money,17109
10 Summers/Interscope Records,17029
El World,16938
RUBBERBVNDGANG,16785
stop tryna see who put this out,16773
1501 Certified Ent/Warner Records,16529
Fresh 2 Def Productions,16366
Members Only / EMPIRE,15995
Epic/Freebandz/A1,15892
Majesty Music Entertainment,15868
Cash Money Records,15785
All We Got Ent.,15755
Music Aggregator,15603
CYPHA / MUTHALAND,14939
Sista Prod/Atlantic,14050
Boss Entertainment (Pty) Ltd,14005
Milkshake,13838
Roy Bulkin Music,13701
Gentle Soul Records,13635
Jonas Brothers,13626
Island Records/Hollywood Records,13566
J. Cole/ DreamVille,13398
