rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date
140,spotify:track:7FmMYtdjfJSeZjC2e2Pt6t,SHINee,Attention,SM Entertainment,28,153,8,1114,2021-03-02
141,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,Kemosabe Records/RCA Records,91,136,22,1103,2021-03-02
142,spotify:track:6hvczQ05jc1yGlp9zhb95V,BLACKPINK,Kill This Love,"YG Entertainment, distributed through Interscope Records",66,151,26,1100,2021-03-02
143,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,YOASOBI,夜に駆ける,YOASOBI,107,134,22,1096,2021-03-02
144,spotify:track:1YlulsUKDduOmC7WxvXYPW,Ruel,Painkiller,RCA Records Label,98,121,27,1093,2021-03-02
145,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,112,127,29,1085,2021-03-02
146,spotify:track:4ZxOuNHhpyOj4gv52MtQpT,BLACKPINK,As If It's Your Last,YG Entertainment,125,-1,24,1084,2021-03-02
147,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,Columbia,144,-1,7,1083,2021-03-02
148,spotify:track:2vBET2pmrQqafaS6zIaYta,"Black Eyed Peas, Shakira",GIRL LIKE ME,Epic,148,-1,3,1065,2021-03-02
149,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,114,114,22,1062,2021-03-02
150,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,BTS,DNA,BIGHIT MUSIC,35,-1,26,1058,2021-03-02
151,spotify:track:4kIpBfvK44bxqX7zo8K1oP,Gaho,시작,(주)블렌딩,81,-1,28,1050,2021-03-02
152,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,104,141,29,1048,2021-03-02
153,spotify:track:41CgzGD7xlgnJe14R4cqkL,Lauv,Paris in the Rain,Lauv,66,66,28,1047,2021-03-02
154,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,145,-1,20,1046,2021-03-02
155,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,122,131,21,1041,2021-03-02
156,spotify:track:32dX0j8hzoztvO4ZXIblbX,BTS,My Time,BIGHIT MUSIC,20,133,29,1036,2021-03-02
157,spotify:track:5MmABMNE9bQlzrk3bVR09B,BTS,Lie,BIGHIT MUSIC,75,148,14,1031,2021-03-02
158,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,142,143,17,1025,2021-03-02
159,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,10,135,19,1022,2021-03-02
160,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,Jonas Brothers Recording,118,149,29,1016,2021-03-02
161,spotify:track:1m8b3KFsAiGyjRc90ZfEB9,sunwoojunga,Run with Me,MAGIC STRAWBERRY SOUND,161,-1,1,1015,2021-03-02
162,spotify:track:2c37Gkpu75l3kvh1FUZrHV,"Jay Park, Hoody, Loco",All I Wanna Do (K) (Feat. Hoody & Loco),"Genie Music Corporation, Stone Music Entertainment",131,-1,14,1014,2021-03-02
163,spotify:track:0GISuIGiksexkuD4krw6PN,BTS,Inner Child,BIGHIT MUSIC,63,139,27,1013,2021-03-02
164,spotify:track:3UoULw70kMsiVXxW0L3A33,Ariana Grande,pov,Republic Records,136,-1,13,1009,2021-03-02
165,spotify:track:6tCssnvTUREcperDOUTqvA,ITZY,WANNABE,Republic Records - ITZY,92,-1,24,1001,2021-03-02
166,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,BTS,Intro: Singularity,BIGHIT MUSIC,105,146,21,1001,2021-03-02
