rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
13,spotify:track:5IaHrVsrferBYDm0bDyABy,"Tyga, Offset",Taste (feat. Offset),Last Kings Music / EMPIRE,6,12,13,18099,2018-08-16
14,spotify:track:4kWO6O1BUXcZmaxitpVUwp,"Tiësto, Dzeko, Preme, Post Malone",Jackie Chan,"Universal Music, a division of Universal International Music BV",12,18,13,17945,2018-08-16
15,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Nonstop,Cash Money/Drake LP6,1,13,7,17875,2018-08-16
16,spotify:track:6kPJZM97LwdG9QIsT7khp6,"Clean Bandit, Demi Lovato",Solo (feat. Demi Lovato),Atlantic Records UK,6,19,13,17276,2018-08-16
17,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,Republic Records,1,21,16,17084,2018-08-16
18,spotify:track:4ofwffwvvnbSkrMSCKQDaC,George Ezra,Shotgun,Columbia,18,35,6,16820,2018-08-16
19,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD!,"Bad Vibes Forever, LLC",1,17,23,16737,2018-08-16
20,spotify:track:6Poyf51k7W3NKnsGwAI90B,Nicki Minaj,Barbie Dreams,Young Money/Cash Money Records,20,-1,1,14739,2018-08-16
21,spotify:track:4keoy2fqgwGnbWlm3ZVZFa,"Zedd, Elley Duhé",Happy Now,UMGRI Interscope,21,31,4,14478,2018-08-16
22,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",I Like It,Atlantic/KSR,9,24,19,14410,2018-08-16
23,spotify:track:0kHyKhJMukHEPfeh8s7rdM,"Kygo, Imagine Dragons",Born To Be Yours,Kygo,18,28,9,14229,2018-08-16
24,spotify:track:3nc420PXjTdBV5TN0gCFkS,"Martin Garrix, Khalid",Ocean (feat. Khalid),Epic Amsterdam,8,23,9,14029,2018-08-16
25,spotify:track:2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,2002,Atlantic Records UK,23,34,17,13882,2018-08-16
26,spotify:track:4VUwkH455At9kENOfzTqmF,"Bazzi, Camila Cabello",Beautiful (feat. Camila Cabello),iamcosmic,26,52,2,13686,2018-08-16
27,spotify:track:3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,27,48,4,12986,2018-08-16
28,spotify:track:7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,God is a woman,Republic Records,8,25,5,12816,2018-08-16
29,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,UMGRI Interscope,3,37,14,12339,2018-08-16
30,spotify:track:3L4GsGLgxpHieVQH86H8bv,"Nicki Minaj, Ariana Grande",Bed (feat. Ariana Grande),Young Money/Cash Money Records,16,61,9,12293,2018-08-16
31,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,"Bad Vibes Forever, LLC",3,33,22,12266,2018-08-16
32,spotify:track:63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,WM Italy,16,42,22,11555,2018-08-16
33,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,Cash Money/Drake LP6,1,41,23,11041,2018-08-16
34,spotify:track:7ycWLEP1GsNjVvcjawXz3z,"A$AP Rocky, Skepta",Praise The Lord (Da Shine) (feat. Skepta),A$AP Worldwide/Polo Grounds Music/RCA Records,11,46,12,10543,2018-08-16
35,spotify:track:7ef4DlsgrMEH11cDZd32M6,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,5,49,19,10277,2018-08-16
36,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,"Drake, Michael Jackson",Don’t Matter To Me (with Michael Jackson),Cash Money/Drake LP6,2,36,7,10258,2018-08-16
37,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),Republic Records,3,50,23,10242,2018-08-16
38,spotify:track:55GiOwtxNajXVbpjjIzMnD,Tyga,SWISH,Last Kings Music / EMPIRE,38,47,3,10170,2018-08-16
39,spotify:track:1xYpVRspgaLxdJLOTQkTjg,Travis Scott,STOP TRYING TO BE GOD,Cactus Jack / Epic / Grand Hustle,11,11,2,10012,2018-08-16
40,spotify:track:2lYTJK94hb0fd1LQtb6Dhk,"David Guetta, Anne-Marie",Don't Leave Me Alone (feat. Anne-Marie),Parlophone (France),40,67,3,9954,2018-08-16
41,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Nice For What,Cash Money/Drake LP6,1,45,19,9913,2018-08-16
42,spotify:track:38TgLPNHsPzgqri5G4SPun,"Nicki Minaj, Labrinth, Eminem",Majesty (with Labrinth & feat. Eminem),Young Money/Cash Money Records,42,-1,1,9627,2018-08-16
43,spotify:track:45Egmo7icyopuzJN0oMEdk,"Khalid, Normani",Love Lies (with Normani),RCA Records Label,3,58,23,9627,2018-08-16
44,spotify:track:04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,I'm a Mess,Warner Bros.,44,68,8,9340,2018-08-16
45,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,Lauv,41,62,22,9105,2018-08-16
46,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Psycho (feat. Ty Dolla $ign),Republic Records,1,56,23,9081,2018-08-16
47,spotify:track:0At2qAoaVjIwWNAqrscXli,Ella Mai,Boo'd Up,10 Summers / Interscope PS,32,53,11,8968,2018-08-16
48,spotify:track:5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,no tears left to cry,Republic Records,12,60,17,8939,2018-08-16
49,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,Nicki Minaj,Chun-Li,Young Money/Cash Money Records,23,176,18,8929,2018-08-16
50,spotify:track:5CLGzJsGqhCEECcpnFQA8x,"Rudimental, Jess Glynne, Macklemore, Dan Caplen","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Atlantic Records UK,9,57,23,8913,2018-08-16
51,spotify:track:083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,I'll Be There,Atlantic Records UK,35,63,15,8877,2018-08-16
