rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
150,"spotify:track:5xMw6qCcpd2gBXPGTegC4W","SZA","SOS","Top Dawg Entertainment/RCA Records",32,32,2,"40709"
151,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",20,156,22,"40563"
152,"spotify:track:4iq6mQd3Hkj1BUYC09t3rP","Kususa, Argento Dust, Zakes Bantwini","Asanda","Universal Music (Pty) Ltd.",152,199,3,"40423"
153,"spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6","Tems","Free Mind","Leading Vibe Ltd",68,170,36,"39887"
154,"spotify:track:2dTQe0W5KXs6TNVV7yi2oS","Young Stunna, Kabza De Small, DJ Maphorisa","Adiwele (feat. Kabza De Small & DJ Maphorisa)","Piano Hub",1,-1,59,"39775"
155,"spotify:track:3vFJfMQlARPRiYbM6aKE8y","Kelvin Momo, Mick Man","East & South","Kelvin Momo Productions",51,51,2,"39528"
156,"spotify:track:2Yt4SXIgmoaPZHGdRafp4P","Metro Boomin, 21 Savage, Young Nudy","Umbrella (with 21 Savage & Young Nudy)","Republic Records",19,106,3,"39499"
157,"spotify:track:2aJnyNu4PQxQ2lyj5boiMG","SZA","I Hate U","Top Dawg Entertainment/RCA Records",14,70,33,"39170"
158,"spotify:track:0Ek5bneviajgSzZGonWfds","Daliwonga, Mellow & Sleazy, M.J","Abo Mvelo (feat. Mellow & Sleazy & M.J)","New Money Gang Records",1,-1,39,"39023"
159,"spotify:track:6FdIgoB81cFG4HbPdLopg1","Kelvin Momo, Loxion Deep, S.O.N, Babalwa M","Blue Moon 2.0","Kelvin Momo Productions",42,42,2,"38543"
160,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",112,168,7,"38340"
161,"spotify:track:3p15jik1b9bQk8PnyaDClI","Kabza De Small, Mhaw Keys, Njelic, Simmy","Eningi (feat. Njelic, Simmy & Mhaw Keys)","Piano Hub",26,-1,28,"38319"
162,"spotify:track:0GAX8SapBTjOqW0d5taVMu","Bernice West","Lyfie","Universal Music (Pty) Ltd.",115,-1,6,"38129"
163,"spotify:track:4PMqSO5qyjpvzhlLI5GnID","SZA","Good Days","Top Dawg Entertainment/RCA Records",13,81,38,"37692"
