rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
158,"spotify:track:0KoBrntyQ2x6Y1eZwgGe5P","Don Toliver, 21 Savage, 2 Chainz","Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)","Republic Records",158,-1,1,"58405"
159,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",34,148,27,"57731"
160,"spotify:track:7EeZuxPhKcHu6awLk7s5c0","Ebuka Songs","I Will Pray","EBUKA SONGS",124,153,14,"57589"
161,"spotify:track:1kyYCsP2NRZEKkBg9wcF2c","Spyro","Who Is Your Guy?","North West Sound Recordings",5,115,20,"57572"
162,"spotify:track:3ES1fBQACydIODlZmQS359","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce","Overloading (OVERDOSE)","Mavin Records",2,126,56,"57165"
163,"spotify:track:16UFXi7IGVGG1mUSBMHfh2","Maverick City Music, Chandler Moore, Cody Carnes","Firm Foundation (He Won't)","Tribl Records",89,138,10,"56865"
164,"spotify:track:5Lv5L45PQmp5CTjs5PlQ6e","EI8HT, Offset","Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix","Republic Records",164,-1,1,"56398"
165,"spotify:track:1f5WN3V8AVYyUahqjWogGj","Davido, Logos olori","PICASSO (feat. Logos Olori)","Columbia",12,125,10,"55821"
166,"spotify:track:4QrZSUg5xCZpFKDIhJMU2Q","Crayon, Yaba Buluku Boyz","The One (Chop Life)","Mavin Records/Blowtime Entertainment",32,119,12,"55697"
167,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Epic",5,145,52,"54196"
168,"spotify:track:6sTPT0d9cJtFI3F3b2IA1q","Ajebo Hustlers","You Go Know","Avante Entertainment",32,132,11,"54112"
169,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",115,159,22,"53862"
170,"spotify:track:7EcN5i7MLSXOslwoeSWz7c","Dj Bentoa","YESHUA - dance cruise","Drop The Beat Entertainment",170,176,3,"53602"
171,"spotify:track:3rmqNsOiGqqvFNTmGlzl4R","Bayanni","Ta Ta Ta","Mavin Records",6,143,27,"52904"
172,"spotify:track:78OD9RZjAyQcfsAigmRuGs","Zinoleesky","Kilofeshe","Marlian Music",119,-1,29,"52213"
173,"spotify:track:6NKuW3yaNXtloGw1RB8WUi","Mayorkun","Certified Loner (No Competition)","SM Entertainment West Africa Limited",6,150,51,"52054"
174,"spotify:track:213Ymlnss7DUsqG7Ut1HW0","Wizkid","Money & Love","Starboy/RCA Records",1,147,32,"51565"
